iterations,fitness,time taken,time since start,fitness array
1,18.6666666667,0.01,0.09274649620056152,[18.666666666666668]
2,22.8333333333,0.01,0.11981844902038574,[22.833333333333332]
3,19.1666666667,0.01,0.14839839935302734,[19.166666666666668]
4,16.3333333333,0.01,0.16945409774780273,[16.333333333333332]
5,17.8333333333,0.01,0.20003128051757812,[17.833333333333332]
6,16.8333333333,0.01,0.2256011962890625,[16.833333333333332]
7,25.1666666667,0.01,0.24765992164611816,[25.166666666666668]
8,14.6666666667,0.0,0.2774507999420166,[14.666666666666666]
9,14.1666666667,0.0,0.3120448589324951,[14.166666666666666]
10,22.1666666667,0.01,0.3436272144317627,[22.166666666666668]
11,17.3333333333,0.01,0.37721705436706543,[17.333333333333332]
12,20.5,0.01,0.40479087829589844,[20.5]
13,19.6666666667,0.01,0.4298582077026367,[19.666666666666668]
14,18.5,0.01,0.454937219619751,[18.5]
15,15.1666666667,0.0,0.4779856204986572,[15.166666666666666]
16,28.1666666667,0.01,0.4995417594909668,[28.166666666666668]
17,21.5,0.01,0.530125617980957,[21.5]
18,13.3333333333,0.01,0.5622100830078125,[13.333333333333334]
19,17.0,0.01,0.5902853012084961,[17.0]
20,17.3333333333,0.01,0.6228704452514648,[17.333333333333332]
21,17.3333333333,0.0,0.6494433879852295,[17.333333333333332]
22,20.5,0.01,0.679023027420044,[20.5]
23,18.6666666667,0.01,0.7070972919464111,[18.666666666666668]
24,18.0,0.01,0.7396872043609619,[18.0]
25,19.8333333333,0.01,0.7712664604187012,[19.833333333333332]
26,18.5,0.01,0.801856517791748,[18.5]
27,15.3333333333,0.0,0.828418493270874,[15.333333333333334]
28,24.3333333333,0.01,0.8645138740539551,[24.333333333333332]
29,17.8333333333,0.01,0.8950960636138916,[17.833333333333332]
30,20.5,0.01,0.9276812076568604,[20.5]
31,21.0,0.01,0.9567620754241943,[21.0]
32,20.6666666667,0.01,0.9888451099395752,[20.666666666666668]
33,20.0,0.01,1.0104029178619385,[20.0]
34,18.5,0.01,1.0319602489471436,[18.5]
35,16.8333333333,0.01,1.0530145168304443,[16.833333333333332]
36,14.6666666667,0.01,1.0886096954345703,[14.666666666666666]
37,14.5,0.01,1.1237032413482666,[14.5]
38,20.1666666667,0.01,1.1577954292297363,[20.166666666666668]
39,23.6666666667,0.01,1.1994054317474365,[23.666666666666668]
40,23.6666666667,0.01,1.237511396408081,[23.666666666666668]
41,27.5,0.02,1.3172180652618408,[27.5]
42,29.8333333333,0.01,1.35481858253479,[29.833333333333332]
43,22.6666666667,0.01,1.3919169902801514,[22.666666666666668]
44,16.1666666667,0.0,1.4169836044311523,[16.166666666666668]
45,15.3333333333,0.0,1.4500718116760254,[15.333333333333334]
46,26.6666666667,0.01,1.4816555976867676,[26.666666666666668]
47,17.5,0.01,1.5052196979522705,[17.5]
48,13.6666666667,0.0,1.5343072414398193,[13.666666666666666]
49,25.0,0.01,1.5628714561462402,[25.0]
50,21.0,0.01,1.5909757614135742,[21.0]
51,19.8333333333,0.01,1.6155130863189697,[19.833333333333332]
52,26.1666666667,0.01,1.6425848007202148,[26.166666666666668]
53,17.3333333333,0.0,1.6621510982513428,[17.333333333333332]
54,22.3333333333,0.01,1.6897478103637695,[22.333333333333332]
55,15.6666666667,0.0,1.7153172492980957,[15.666666666666666]
