iterations,fitness,time taken,time since start,fitness array
1,32.1666666667,0.06,0.09676265716552734,[32.166666666666664]
2,30.0,0.05,0.15791964530944824,[30.0]
3,31.0,0.05,0.21958518028259277,[31.0]
4,29.6666666667,0.06,0.2907731533050537,[29.666666666666668]
5,32.0,0.06,0.3679924011230469,[32.0]
6,31.6666666667,0.05,0.4301447868347168,[31.666666666666668]
7,32.5,0.05,0.49381542205810547,[32.5]
8,31.8333333333,0.06,0.5660138130187988,[31.833333333333332]
9,32.5,0.06,0.637195348739624,[32.5]
10,31.0,0.05,0.705878496170044,[31.0]
11,30.8333333333,0.06,0.7795751094818115,[30.833333333333332]
12,31.1666666667,0.05,0.8447484970092773,[31.166666666666668]
13,31.5,0.06,0.9144346714019775,[31.5]
14,32.6666666667,0.05,0.9876298904418945,[32.666666666666664]
15,31.6666666667,0.06,1.0603220462799072,[31.666666666666668]
16,33.8333333333,0.05,1.129507064819336,[33.833333333333336]
17,30.8333333333,0.06,1.21122407913208,[30.833333333333332]
18,28.1666666667,0.06,1.2834157943725586,[28.166666666666668]
19,35.5,0.08,1.377666711807251,[35.5]
20,31.1666666667,0.09,1.523564338684082,[31.166666666666668]
21,32.1666666667,0.06,1.594743251800537,[32.166666666666664]
22,33.6666666667,0.05,1.657912254333496,[33.666666666666664]
23,33.5,0.05,1.7205791473388672,[33.5]
24,32.1666666667,0.06,1.8043007850646973,[32.166666666666664]
25,29.1666666667,0.07,1.8915340900421143,[29.166666666666668]
26,32.5,0.06,1.972247838973999,[32.5]
27,27.0,0.06,2.0494601726531982,[27.0]
28,31.0,0.05,2.118135929107666,[31.0]
29,34.8333333333,0.06,2.193838596343994,[34.833333333333336]
30,32.1666666667,0.05,2.261518716812134,[32.166666666666664]
31,28.6666666667,0.06,2.3397271633148193,[28.666666666666668]
32,34.0,0.06,2.408909797668457,[34.0]
33,35.0,0.06,2.490137815475464,[35.0]
34,31.0,0.06,2.571355104446411,[31.0]
35,31.8333333333,0.06,2.649550437927246,[31.833333333333332]
36,33.1666666667,0.05,2.720240831375122,[33.166666666666664]
37,33.5,0.06,2.80546498298645,[33.5]
38,28.5,0.07,2.891695976257324,[28.5]
39,29.8333333333,0.05,2.9613964557647705,[29.833333333333332]
40,32.1666666667,0.05,3.033071756362915,[32.166666666666664]
41,28.6666666667,0.06,3.106266736984253,[28.666666666666668]
42,31.6666666667,0.06,3.1814656257629395,[31.666666666666668]
43,30.3333333333,0.06,3.258636236190796,[30.333333333333332]
44,35.3333333333,0.06,3.332834482192993,[35.333333333333336]
45,30.5,0.13,3.489816904067993,[30.5]
46,33.0,0.07,3.5755434036254883,[33.0]
47,31.0,0.06,3.650242567062378,[31.0]
48,31.8333333333,0.05,3.7164206504821777,[31.833333333333332]
49,34.0,0.06,3.793123960494995,[34.0]
50,27.5,0.06,3.8668198585510254,[27.5]
51,31.0,0.06,3.9475338459014893,[31.0]
52,33.1666666667,0.05,4.023236513137817,[33.166666666666664]
