iterations,fitness,time taken,time since start,fitness array
1,10.0,0.01,0.04915881156921387,[10.0]
2,9.0,0.01,0.0797429084777832,[9.0]
3,9.0,0.01,0.10778450965881348,[9.0]
4,9.0,0.01,0.13637042045593262,[9.0]
5,10.0,0.01,0.1659681797027588,[10.0]
6,11.0,0.01,0.2010343074798584,[11.0]
7,9.0,0.01,0.2461528778076172,[9.0]
8,11.0,0.02,0.2972884178161621,[11.0]
9,9.0,0.01,0.3464212417602539,[9.0]
10,9.0,0.02,0.39605164527893066,[9.0]
11,10.0,0.01,0.44117188453674316,[10.0]
12,10.0,0.01,0.48732519149780273,[10.0]
13,9.0,0.01,0.5273036956787109,[9.0]
14,11.0,0.01,0.5684123039245605,[11.0]
15,9.0,0.01,0.6096334457397461,[9.0]
16,9.0,0.01,0.6537532806396484,[9.0]
17,10.0,0.01,0.7009034156799316,[10.0]
18,9.0,0.01,0.7434933185577393,[9.0]
19,8.0,0.01,0.788642406463623,[8.0]
20,9.0,0.01,0.8427996635437012,[9.0]
21,10.0,0.02,0.8874053955078125,[10.0]
22,10.0,0.01,0.936504602432251,[10.0]
23,9.0,0.01,0.9821574687957764,[9.0]
24,10.0,0.01,1.0242564678192139,[10.0]
25,9.0,0.02,1.0924663543701172,[9.0]
26,10.0,0.02,1.1385903358459473,[10.0]
27,8.0,0.02,1.1987199783325195,[8.0]
28,9.0,0.02,1.2573764324188232,[9.0]
29,9.0,0.02,1.3235502243041992,[9.0]
30,9.0,0.02,1.3892261981964111,[9.0]
31,10.0,0.03,1.470442771911621,[10.0]
32,9.0,0.02,1.5285959243774414,[9.0]
33,8.0,0.02,1.5797336101531982,[8.0]
34,10.0,0.02,1.6268949508666992,[10.0]
35,10.0,0.02,1.6765258312225342,[10.0]
36,9.0,0.02,1.7288908958435059,[9.0]
37,8.0,0.02,1.779738187789917,[8.0]
38,10.0,0.02,1.8333814144134521,[10.0]
39,8.0,0.02,1.8865489959716797,[8.0]
40,9.0,0.03,1.9607198238372803,[9.0]
41,9.0,0.02,2.0254080295562744,[9.0]
42,9.0,0.03,2.0990889072418213,[9.0]
43,10.0,0.03,2.1692748069763184,[10.0]
44,10.0,0.03,2.262021780014038,[10.0]
45,10.0,0.02,2.325690984725952,[10.0]
46,10.0,0.02,2.384382724761963,[10.0]
47,8.0,0.02,2.4310009479522705,[8.0]
48,10.0,0.02,2.47812819480896,[10.0]
49,10.0,0.02,2.5291311740875244,[10.0]
50,8.0,0.02,2.584280252456665,[8.0]
51,11.0,0.02,2.640397071838379,[11.0]
52,8.0,0.02,2.6968259811401367,[8.0]
53,10.0,0.02,2.7524704933166504,[10.0]
54,10.0,0.02,2.8151392936706543,[10.0]
55,9.0,0.02,2.8762729167938232,[9.0]
56,9.0,0.03,2.947462320327759,[9.0]
57,10.0,0.03,3.0091264247894287,[10.0]
58,10.0,0.03,3.080315113067627,[10.0]
59,9.0,0.02,3.152005195617676,[9.0]
60,9.0,0.02,3.237231969833374,[9.0]
61,8.0,0.02,3.29638934135437,[8.0]
62,10.0,0.02,3.3515708446502686,[10.0]
63,9.0,0.02,3.4152402877807617,[9.0]
64,8.0,0.03,3.481419801712036,[8.0]
65,9.0,0.02,3.5490965843200684,[9.0]
66,10.0,0.03,3.6142821311950684,[10.0]
67,9.0,0.03,3.6829538345336914,[9.0]
68,10.0,0.02,3.7511684894561768,[10.0]
69,9.0,0.03,3.822859764099121,[9.0]
70,10.0,0.03,3.9015679359436035,[10.0]
71,9.0,0.03,3.9742279052734375,[9.0]
72,10.0,0.05,4.074496507644653,[10.0]
73,10.0,0.04,4.174764156341553,[10.0]
74,9.0,0.03,4.245981216430664,[9.0]
75,10.0,0.03,4.3221940994262695,[10.0]
76,9.0,0.03,4.387828588485718,[9.0]
77,11.0,0.03,4.453503131866455,[11.0]
78,9.0,0.03,4.524503469467163,[9.0]
79,10.0,0.03,4.59517765045166,[10.0]
80,10.0,0.05,4.7014617919921875,[10.0]
81,11.0,0.06,4.822784662246704,[11.0]
82,10.0,0.05,4.94260311126709,[10.0]
83,10.0,0.03,5.035850763320923,[10.0]
84,9.0,0.05,5.125589609146118,[9.0]
85,10.0,0.04,5.215329170227051,[10.0]
86,11.0,0.05,5.319633483886719,[11.0]
87,9.0,0.03,5.395843029022217,[9.0]
88,8.0,0.03,5.477567195892334,[8.0]
89,10.0,0.05,5.568272829055786,[10.0]
90,8.0,0.04,5.664060115814209,[8.0]
91,10.0,0.03,5.741199016571045,[10.0]
92,9.0,0.04,5.825418472290039,[9.0]
93,11.0,0.03,5.904099941253662,[11.0]
94,9.0,0.03,5.9758288860321045,[9.0]
95,9.0,0.03,6.049525022506714,[9.0]
96,10.0,0.03,6.140799045562744,[10.0]
97,9.0,0.04,6.225495100021362,[9.0]
98,9.0,0.03,6.3012261390686035,[9.0]
99,9.0,0.03,6.376928806304932,[9.0]
100,10.0,0.04,6.45613956451416,[10.0]
101,9.0,0.03,6.530335903167725,[9.0]
102,10.0,0.04,6.6260597705841064,[10.0]
103,9.0,0.03,6.709312915802002,[9.0]
104,10.0,0.04,6.795510292053223,[10.0]
105,10.0,0.03,6.894665718078613,[10.0]
106,9.0,0.03,6.971368789672852,[9.0]
107,10.0,0.04,7.051391839981079,[10.0]
108,8.0,0.04,7.134583234786987,[8.0]
109,9.0,0.03,7.2303688526153564,[9.0]
110,10.0,0.04,7.315592527389526,[10.0]
111,9.0,0.04,7.409849643707275,[9.0]
112,10.0,0.04,7.4970457553863525,[10.0]
113,10.0,0.04,7.583777904510498,[10.0]
