iterations,fitness,time taken,time since start,fitness array
1,0.0,0.05,0.1043853759765625,[0.0]
2,0.0,0.05,0.18056511878967285,[0.0]
3,0.0,0.04,0.24071741104125977,[0.0]
4,0.0,0.04,0.3024117946624756,[0.0]
5,0.0,0.04,0.3605341911315918,[0.0]
6,0.0,0.04,0.4227321147918701,[0.0]
7,0.0,0.04,0.4848971366882324,[0.0]
8,0.0,0.04,0.5515408515930176,[0.0]
9,0.0,0.05,0.6277480125427246,[0.0]
10,0.0,0.05,0.7094707489013672,[0.0]
11,0.0,0.05,0.7896742820739746,[0.0]
12,0.0,0.04,0.8563516139984131,[0.0]
13,0.0,0.04,0.9228498935699463,[0.0]
14,0.0,0.04,0.9935398101806641,[0.0]
15,0.0,0.04,1.06758713722229,[0.0]
16,0.0,0.04,1.1367712020874023,[0.0]
17,0.0,0.04,1.2139768600463867,[0.0]
18,0.0,0.04,1.2871711254119873,[0.0]
19,0.0,0.05,1.3633742332458496,[0.0]
20,0.0,0.04,1.4466333389282227,[0.0]
21,0.0,0.05,1.5198230743408203,[0.0]
22,0.0,0.04,1.5904996395111084,[0.0]
23,0.0,0.06,1.6772098541259766,[0.0]
24,0.0,0.05,1.7529120445251465,[0.0]
25,0.0,0.05,1.8311190605163574,[0.0]
26,0.0,0.04,1.8962924480438232,[0.0]
27,0.0,0.04,1.957167625427246,[0.0]
28,0.0,0.04,2.0246174335479736,[0.0]
29,0.0,0.04,2.090280294418335,[0.0]
30,0.0,0.04,2.160968542098999,[0.0]
31,0.0,0.04,2.2216298580169678,[0.0]
32,0.0,0.05,2.2955965995788574,[0.0]
33,0.0,0.04,2.364790916442871,[0.0]
34,0.0,0.05,2.435441493988037,[0.0]
35,3.0,0.04,2.507133722305298,[3.0]
36,3.0,0.04,2.578822374343872,[3.0]
37,3.0,0.05,2.674577236175537,[3.0]
38,3.0,0.05,2.7532873153686523,[3.0]
39,3.0,0.05,2.8294897079467773,[3.0]
40,3.0,0.04,2.9026846885681152,[3.0]
41,3.0,0.04,2.974376916885376,[3.0]
42,3.0,0.04,3.039591073989868,[3.0]
