iterations,fitness,time taken,time since start,fitness array
1,0.0,0.0,0.05464625358581543,[0.0]
2,0.0,0.0,0.07670283317565918,[0.0]
3,0.0,0.0,0.09776067733764648,[0.0]
4,0.0,0.01,0.11782693862915039,[0.0]
5,0.0,0.0,0.13786578178405762,[0.0]
6,0.0,0.0,0.15039896965026855,[0.0]
7,0.0,0.01,0.17446398735046387,[0.0]
8,0.0,0.0,0.19802618026733398,[0.0]
9,0.0,0.0,0.22409510612487793,[0.0]
10,0.0,0.0,0.24715733528137207,[0.0]
11,0.0,0.0,0.2737276554107666,[0.0]
12,0.0,0.0,0.2945277690887451,[0.0]
13,0.0,0.01,0.3211047649383545,[0.0]
14,0.0,0.0,0.34516286849975586,[0.0]
15,0.0,0.01,0.3687255382537842,[0.0]
16,0.0,0.0,0.39429402351379395,[0.0]
17,0.0,0.0,0.4233705997467041,[0.0]
18,0.0,0.0,0.4484372138977051,[0.0]
19,0.0,0.0,0.4785184860229492,[0.0]
20,0.0,0.0,0.5106043815612793,[0.0]
21,1.0,0.0,0.5431909561157227,[1.0]
22,1.0,0.0,0.5732812881469727,[1.0]
23,1.0,0.0,0.6063215732574463,[1.0]
24,1.0,0.0,0.6409132480621338,[1.0]
25,1.0,0.01,0.6727306842803955,[1.0]
26,1.0,0.01,0.7048168182373047,[1.0]
27,1.0,0.0,0.7288801670074463,[1.0]
28,1.0,0.0,0.7574558258056641,[1.0]
29,1.0,0.01,0.7895851135253906,[1.0]
30,1.0,0.0,0.8191373348236084,[1.0]
31,1.0,0.0,0.8421971797943115,[1.0]
32,1.0,0.0,0.8697741031646729,[1.0]
33,1.0,0.0,0.8993542194366455,[1.0]
34,1.0,0.0,0.9229423999786377,[1.0]
35,1.0,0.0,0.9414615631103516,[1.0]
36,1.0,0.01,0.9710707664489746,[1.0]
37,1.0,0.0,0.9971246719360352,[1.0]
38,1.0,0.0,1.0271902084350586,[1.0]
39,1.0,0.0,1.05727219581604,[1.0]
40,1.0,0.0,1.0803308486938477,[1.0]
41,1.0,0.0,1.1064002513885498,[1.0]
42,2.0,0.0,1.1314661502838135,[2.0]
43,2.0,0.0,1.158538818359375,[2.0]
44,2.0,0.01,1.185110092163086,[2.0]
45,2.0,0.0,1.2056643962860107,[2.0]
46,2.0,0.0,1.2302289009094238,[2.0]
47,2.0,0.0,1.2578027248382568,[2.0]
48,2.0,0.01,1.286881923675537,[2.0]
49,2.0,0.0,1.3139541149139404,[2.0]
50,2.0,0.0,1.3400211334228516,[2.0]
51,2.0,0.0,1.3595738410949707,[2.0]
52,2.0,0.01,1.3861486911773682,[2.0]
53,2.0,0.0,1.408202886581421,[2.0]
54,2.0,0.0,1.4332795143127441,[2.0]
55,2.0,0.0,1.4563310146331787,[2.0]
56,2.0,0.0,1.4808964729309082,[2.0]
57,2.0,0.0,1.5079691410064697,[2.0]
58,2.0,0.01,1.5586047172546387,[2.0]
59,2.0,0.0,1.5936977863311768,[2.0]
60,2.0,0.0,1.6282894611358643,[2.0]
61,2.0,0.0,1.6573655605316162,[2.0]
62,2.0,0.0,1.6884491443634033,[2.0]
63,3.0,0.01,1.7195324897766113,[3.0]
64,3.0,0.0,1.7501132488250732,[3.0]
65,3.0,0.0,1.7837088108062744,[3.0]
66,3.0,0.0,1.8152861595153809,[3.0]
67,3.0,0.0,1.8478741645812988,[3.0]
68,3.0,0.0,1.877953290939331,[3.0]
69,3.0,0.0,1.9090356826782227,[3.0]
70,3.0,0.0,1.9305930137634277,[3.0]
71,3.0,0.0,1.9496510028839111,[3.0]
72,3.0,0.0,1.969196081161499,[3.0]
73,3.0,0.0,1.9927589893341064,[3.0]
74,3.0,0.0,2.013815402984619,[3.0]
75,3.0,0.0,2.0348711013793945,[3.0]
76,3.0,0.0,2.0539236068725586,[3.0]
77,3.0,0.0,2.0734732151031494,[3.0]
78,3.0,0.0,2.0975377559661865,[3.0]
79,3.0,0.0,2.1266143321990967,[3.0]
80,3.0,0.0,2.1496798992156982,[3.0]
81,3.0,0.0,2.17173433303833,[3.0]
82,3.0,0.0,2.1952974796295166,[3.0]
83,3.0,0.0,2.2218828201293945,[3.0]
84,4.0,0.0,2.2464346885681152,[4.0]
85,4.0,0.0,2.2694947719573975,[4.0]
86,4.0,0.0,2.2890470027923584,[4.0]
87,4.0,0.0,2.311115264892578,[4.0]
88,4.0,0.0,2.3316686153411865,[4.0]
89,4.0,0.0,2.354721784591675,[4.0]
90,4.0,0.0,2.389816999435425,[4.0]
91,4.0,0.0,2.414884090423584,[4.0]
92,4.0,0.0,2.447970390319824,[4.0]
93,4.0,0.01,2.4795541763305664,[4.0]
94,4.0,0.0,2.5091326236724854,[4.0]
95,4.0,0.01,2.5442280769348145,[4.0]
96,4.0,0.0,2.5682904720306396,[4.0]
97,4.0,0.01,2.602381944656372,[4.0]
98,4.0,0.0,2.6319615840911865,[4.0]
99,4.0,0.0,2.6625421047210693,[4.0]
100,4.0,0.0,2.695127487182617,[4.0]
101,4.0,0.0,2.72871732711792,[4.0]
102,4.0,0.0,2.762307643890381,[4.0]
103,4.0,0.0,2.7943921089172363,[4.0]
104,4.0,0.0,2.824472188949585,[4.0]
105,5.0,0.01,2.852555513381958,[5.0]
106,5.0,0.0,2.882629632949829,[5.0]
107,5.0,0.0,2.9096994400024414,[5.0]
108,5.0,0.01,2.934765338897705,[5.0]
109,5.0,0.0,2.955320358276367,[5.0]
110,5.0,0.0,2.975874185562134,[5.0]
111,5.0,0.0,2.9949257373809814,[5.0]
112,5.0,0.0,3.0179896354675293,[5.0]
113,5.0,0.0,3.038541078567505,[5.0]
114,5.0,0.0,3.0575926303863525,[5.0]
115,5.0,0.0,3.079651355743408,[5.0]
116,5.0,0.0,3.1112356185913086,[5.0]
117,5.0,0.0,3.1403121948242188,[5.0]
118,5.0,0.0,3.1718971729278564,[5.0]
119,5.0,0.0,3.199481248855591,[5.0]
120,5.0,0.0,3.221027135848999,[5.0]
121,5.0,0.0,3.2425849437713623,[5.0]
122,5.0,0.0,3.267651081085205,[5.0]
123,5.0,0.0,3.2977306842803955,[5.0]
124,5.0,0.01,3.336334466934204,[5.0]
125,5.0,0.01,3.3689208030700684,[5.0]
126,6.0,0.01,3.404015302658081,[6.0]
127,6.0,0.0,3.4381062984466553,[6.0]
128,6.0,0.01,3.4691874980926514,[6.0]
129,6.0,0.0,3.51019024848938,[6.0]
130,6.0,0.0,3.5452840328216553,[6.0]
131,6.0,0.0,3.5768675804138184,[6.0]
132,6.0,0.0,3.607950448989868,[6.0]
133,6.0,0.0,3.6460518836975098,[6.0]
134,6.0,0.0,3.6761326789855957,[6.0]
135,6.0,0.0,3.708218812942505,[6.0]
136,6.0,0.0,3.741304874420166,[6.0]
137,6.0,0.0,3.772387981414795,[6.0]
138,6.0,0.0,3.806478977203369,[6.0]
139,6.0,0.0,3.8390653133392334,[6.0]
140,6.0,0.0,3.8711507320404053,[6.0]
141,6.0,0.0,3.901230812072754,[6.0]
142,6.0,0.0,3.92980694770813,[6.0]
143,6.0,0.0,3.9533700942993164,[6.0]
144,6.0,0.0,3.972921133041382,[6.0]
145,6.0,0.0,3.9929754734039307,[6.0]
146,6.0,0.0,4.014030933380127,[6.0]
147,7.0,0.0,4.033096075057983,[7.0]
148,7.0,0.0,4.0531394481658936,[7.0]
149,7.0,0.0,4.0727009773254395,[7.0]
150,7.0,0.0,4.09624981880188,[7.0]
151,7.0,0.0,4.119311571121216,[7.0]
152,7.0,0.0,4.142874240875244,[7.0]
153,7.0,0.0,4.16443395614624,[7.0]
154,7.0,0.0,4.188496112823486,[7.0]
155,7.0,0.0,4.2145750522613525,[7.0]
156,7.0,0.0,4.237124681472778,[7.0]
157,7.0,0.0,4.259183406829834,[7.0]
158,7.0,0.01,4.284754276275635,[7.0]
159,7.0,0.0,4.308816194534302,[7.0]
160,7.0,0.01,4.3333821296691895,[7.0]
161,7.0,0.0,4.3574464321136475,[7.0]
162,7.0,0.0,4.389029026031494,[7.0]
163,7.0,0.01,4.417104482650757,[7.0]
164,7.0,0.0,4.44116735458374,[7.0]
165,7.0,0.0,4.464730501174927,[7.0]
166,7.0,0.0,4.499826669692993,[7.0]
167,7.0,0.01,4.540432691574097,[7.0]
168,8.0,0.0,4.574522495269775,[8.0]
169,8.0,0.0,4.612623691558838,[8.0]
170,8.0,0.0,4.647718667984009,[8.0]
