iterations,fitness,time taken,time since start,fitness array
1,1.0,0.01,0.056154489517211914,[1.0]
2,1.0,0.01,0.08272051811218262,[1.0]
3,1.0,0.01,0.10277414321899414,[1.0]
4,1.0,0.01,0.12433028221130371,[1.0]
5,8.0,0.01,0.14789414405822754,[8.0]
6,0.0,0.01,0.16844773292541504,[0.0]
7,8.0,0.01,0.20354676246643066,[8.0]
8,8.0,0.01,0.23964428901672363,[8.0]
9,8.0,0.01,0.2782399654388428,[8.0]
10,0.0,0.01,0.30280494689941406,[0.0]
11,8.0,0.01,0.33138203620910645,[8.0]
12,8.0,0.01,0.35845422744750977,[8.0]
13,8.0,0.01,0.39003705978393555,[8.0]
14,8.0,0.01,0.4251439571380615,[8.0]
15,0.0,0.01,0.45621514320373535,[0.0]
16,9.0,0.01,0.4958193302154541,[9.0]
17,0.0,0.01,0.5319154262542725,[0.0]
18,9.0,0.01,0.571521520614624,[9.0]
19,9.0,0.01,0.6081178188323975,[9.0]
20,0.0,0.01,0.6462187767028809,[0.0]
21,9.0,0.01,0.6848218441009521,[9.0]
22,9.0,0.01,0.7294409275054932,[9.0]
23,0.0,0.01,0.7665393352508545,[0.0]
24,0.0,0.01,0.8031370639801025,[0.0]
25,9.0,0.01,0.8427441120147705,[9.0]
26,9.0,0.01,0.8823699951171875,[9.0]
27,9.0,0.01,0.9239780902862549,[9.0]
28,9.0,0.01,0.9670925140380859,[9.0]
29,0.0,0.01,1.0072014331817627,[0.0]
30,9.0,0.01,1.0528204441070557,[9.0]
31,9.0,0.01,1.0924255847930908,[9.0]
32,9.0,0.01,1.1370460987091064,[9.0]
33,0.0,0.01,1.1811623573303223,[0.0]
34,0.0,0.01,1.224778175354004,[0.0]
35,9.0,0.01,1.2714025974273682,[9.0]
36,9.0,0.01,1.3165225982666016,[9.0]
37,9.0,0.01,1.3496110439300537,[9.0]
38,0.0,0.01,1.38169527053833,[0.0]
39,0.0,0.01,1.4213018417358398,[0.0]
40,9.0,0.01,1.464916706085205,[9.0]
41,9.0,0.01,1.5085821151733398,[9.0]
42,9.0,0.01,1.5542027950286865,[9.0]
43,0.0,0.01,1.5933094024658203,[0.0]
44,0.0,0.01,1.6349186897277832,[0.0]
45,0.0,0.01,1.675525188446045,[0.0]
46,0.0,0.01,1.7146306037902832,[0.0]
47,9.0,0.01,1.7642614841461182,[9.0]
48,0.0,0.01,1.8068757057189941,[0.0]
49,9.0,0.01,1.854001760482788,[9.0]
50,0.0,0.01,1.8966140747070312,[0.0]
51,-3.0,0.01,1.9362196922302246,[-3.0]
52,9.0,0.01,1.9808402061462402,[9.0]
53,-3.0,0.01,2.0254569053649902,[-3.0]
54,9.0,0.01,2.0685739517211914,[9.0]
55,9.0,0.01,2.1126949787139893,[9.0]
56,9.0,0.01,2.1573078632354736,[9.0]
57,9.0,0.01,2.2009239196777344,[9.0]
58,9.0,0.01,2.2450408935546875,[9.0]
59,9.0,0.01,2.2841453552246094,[9.0]
60,9.0,0.01,2.3277618885040283,[9.0]
61,-3.0,0.01,2.3713769912719727,[-3.0]
62,-3.0,0.01,2.418001174926758,[-3.0]
63,9.0,0.01,2.466630458831787,[9.0]
64,9.0,0.01,2.5107479095458984,[9.0]
65,9.0,0.01,2.5699055194854736,[9.0]
66,-3.0,0.01,2.613020181655884,[-3.0]
67,-3.0,0.01,2.659144401550293,[-3.0]
68,9.0,0.01,2.7012546062469482,[9.0]
69,0.0,0.01,2.7554008960723877,[0.0]
70,0.0,0.01,2.7980124950408936,[0.0]
71,0.0,0.01,2.837117910385132,[0.0]
72,0.0,0.01,2.8777244091033936,[0.0]
73,10.0,0.01,2.919837474822998,[10.0]
74,0.0,0.01,2.9624505043029785,[0.0]
75,10.0,0.01,3.0055665969848633,[10.0]
76,0.0,0.01,3.0491812229156494,[0.0]
77,0.0,0.01,3.0897889137268066,[0.0]
78,0.0,0.01,3.139420986175537,[0.0]
79,0.0,0.01,3.187549114227295,[0.0]
80,10.0,0.01,3.2391867637634277,[10.0]
81,0.0,0.01,3.278791904449463,[0.0]
82,10.0,0.01,3.32140851020813,[10.0]
83,10.0,0.01,3.3595070838928223,[10.0]
84,10.0,0.01,3.4041261672973633,[10.0]
85,0.0,0.01,3.4467391967773438,[0.0]
86,10.0,0.01,3.4913578033447266,[10.0]
87,10.0,0.01,3.5369784832000732,[10.0]
88,10.0,0.01,3.5795931816101074,[10.0]
89,10.0,0.01,3.624211311340332,[10.0]
90,0.0,0.01,3.6693310737609863,[0.0]
91,0.0,0.01,3.7189695835113525,[0.0]
92,10.0,0.01,3.7670912742614746,[10.0]
93,10.0,0.01,3.8107073307037354,[10.0]
94,0.0,0.01,3.8528199195861816,[0.0]
95,10.0,0.01,3.8964428901672363,[10.0]
96,0.0,0.01,3.9395501613616943,[0.0]
97,0.0,0.01,3.984670400619507,[0.0]
98,0.0,0.01,4.027284860610962,[0.0]
99,0.0,0.01,4.065893173217773,[0.0]
100,0.0,0.01,4.107998847961426,[0.0]
101,10.0,0.01,4.155123949050903,[10.0]
102,0.0,0.01,4.199269771575928,[0.0]
103,0.0,0.01,4.248913288116455,[0.0]
104,0.0,0.01,4.292016506195068,[0.0]
105,10.0,0.01,4.34365439414978,[10.0]
106,10.0,0.01,4.380250930786133,[10.0]
107,0.0,0.01,4.41534423828125,[0.0]
108,0.0,0.01,4.455451488494873,[0.0]
109,0.0,0.01,4.496059417724609,[0.0]
110,0.0,0.01,4.547696828842163,[0.0]
111,10.0,0.01,4.592827796936035,[10.0]
112,0.0,0.01,4.636934041976929,[0.0]
113,0.0,0.01,4.684569597244263,[0.0]
114,0.0,0.01,4.735196590423584,[0.0]
115,0.0,0.01,4.781318664550781,[0.0]
116,10.0,0.01,4.9046471118927,[10.0]
117,10.0,0.01,4.951271295547485,[10.0]
118,10.0,0.01,4.995419502258301,[10.0]
119,0.0,0.01,5.038003206253052,[0.0]
120,0.0,0.01,5.0841264724731445,[0.0]
121,10.0,0.01,5.132755517959595,[10.0]
122,0.0,0.01,5.18238639831543,[0.0]
123,10.0,0.01,5.233021020889282,[10.0]
124,0.0,0.01,5.282652378082275,[0.0]
125,0.0,0.01,5.32927680015564,[0.0]
126,10.0,0.01,5.385426759719849,[10.0]
127,10.0,0.01,5.44157600402832,[10.0]
128,0.0,0.01,5.486695766448975,[0.0]
129,0.0,0.01,5.538834571838379,[0.0]
130,0.0,0.01,5.586461544036865,[0.0]
131,10.0,0.01,5.632083892822266,[10.0]
132,10.0,0.01,5.676200866699219,[10.0]
133,0.0,0.01,5.723827600479126,[0.0]
134,10.0,0.01,5.777970790863037,[10.0]
135,10.0,0.01,5.824594974517822,[10.0]
136,10.0,0.01,5.868713140487671,[10.0]
137,10.0,0.01,5.910824298858643,[10.0]
138,10.0,0.01,5.953438997268677,[10.0]
139,10.0,0.01,5.999561309814453,[10.0]
140,0.0,0.01,6.040678262710571,[0.0]
141,0.0,0.01,6.086292266845703,[0.0]
142,0.0,0.01,6.1344194412231445,[0.0]
143,10.0,0.01,6.181545257568359,[10.0]
144,10.0,0.01,6.225663185119629,[10.0]
145,10.0,0.01,6.2667717933654785,[10.0]
146,0.0,0.01,6.312394618988037,[0.0]
147,0.0,0.01,6.3525002002716064,[0.0]
148,0.0,0.01,6.397623300552368,[0.0]
149,0.0,0.01,6.441739320755005,[0.0]
150,10.0,0.01,6.488864421844482,[10.0]
151,10.0,0.01,6.600158929824829,[10.0]
152,0.0,0.01,6.648788690567017,[0.0]
153,0.0,0.01,6.805205821990967,[0.0]
154,0.0,0.01,6.855839252471924,[0.0]
155,10.0,0.01,6.910484790802002,[10.0]
156,10.0,0.01,6.956607341766357,[10.0]
157,0.0,0.01,6.998219013214111,[0.0]
158,0.0,0.01,7.046847581863403,[0.0]
159,10.0,0.01,7.090965032577515,[10.0]
160,0.0,0.01,7.1421074867248535,[0.0]
161,10.0,0.01,7.190230369567871,[10.0]
162,0.0,0.01,7.240363597869873,[0.0]
163,0.0,0.01,7.286485195159912,[0.0]
164,0.0,0.01,7.339126110076904,[0.0]
165,0.0,0.01,7.375727415084839,[0.0]
166,10.0,0.01,7.4278624057769775,[10.0]
167,0.0,0.01,7.4810028076171875,[0.0]
168,10.0,0.01,7.526623964309692,[10.0]
169,10.0,0.01,7.5767576694488525,[10.0]
170,10.0,0.01,7.6449408531188965,[10.0]
171,0.0,0.01,7.688053846359253,[0.0]
172,0.0,0.01,7.739691257476807,[0.0]
173,0.0,0.01,7.7878193855285645,[0.0]
174,10.0,0.01,7.843969106674194,[10.0]
175,0.0,0.01,7.899648189544678,[0.0]
176,0.0,0.01,7.955772399902344,[0.0]
177,10.0,0.01,8.008440017700195,[10.0]
178,-3.0,0.01,8.054029703140259,[-3.0]
179,-3.0,0.01,8.105163812637329,[-3.0]
180,10.0,0.01,8.161312818527222,[10.0]
181,10.0,0.01,8.213965892791748,[10.0]
182,10.0,0.01,8.264589309692383,[10.0]
183,-3.0,0.01,8.315760612487793,[-3.0]
184,10.0,0.02,8.37036919593811,[10.0]
185,10.0,0.01,8.421004295349121,[10.0]
186,-3.0,0.01,8.472140789031982,[-3.0]
187,-3.0,0.01,8.523277759552002,[-3.0]
188,-3.0,0.01,8.568902015686035,[-3.0]
189,10.0,0.01,8.618530035018921,[10.0]
190,-3.0,0.01,8.670170545578003,[-3.0]
191,10.0,0.01,8.715788841247559,[10.0]
192,-3.0,0.01,8.776450395584106,[-3.0]
193,-3.0,0.01,8.82661485671997,[-3.0]
194,-3.0,0.01,8.876226425170898,[-3.0]
195,10.0,0.01,8.929867267608643,[10.0]
196,-3.0,0.01,8.98952603340149,[-3.0]
197,-3.0,0.01,9.03865671157837,[-3.0]
198,10.0,0.01,9.092800855636597,[10.0]
199,10.0,0.01,9.190561771392822,[10.0]
200,10.0,0.01,9.247212886810303,[10.0]
201,-3.0,0.01,9.29935097694397,[-3.0]
202,-3.0,0.01,9.35601544380188,[-3.0]
203,-3.0,0.01,9.402625322341919,[-3.0]
204,8.0,0.01,9.460281133651733,[8.0]
205,-3.0,0.02,9.511916160583496,[-3.0]
206,-3.0,0.01,9.549522876739502,[-3.0]
207,-3.0,0.01,9.59012770652771,[-3.0]
208,8.0,0.01,9.63775110244751,[8.0]
209,-3.0,0.01,9.691396474838257,[-3.0]
210,-3.0,0.01,9.748049259185791,[-3.0]
211,-3.0,0.01,9.803693056106567,[-3.0]
212,8.0,0.01,9.856333017349243,[8.0]
213,8.0,0.01,9.908973693847656,[8.0]
214,8.0,0.01,9.963618993759155,[8.0]
215,-3.0,0.01,10.01676082611084,[-3.0]
216,8.0,0.01,10.07090449333191,[8.0]
217,-3.0,0.01,10.128056287765503,[-3.0]
218,8.0,0.01,10.182199954986572,[8.0]
219,8.0,0.01,10.228327751159668,[8.0]
