iterations,fitness,time taken,time since start,fitness array
5,0.333333333333,0.02,0.03208446502685547,[0.3333333333333333]
10,0.833333333333,0.03,0.08322310447692871,[0.8333333333333334]
15,0.833333333333,0.03,0.12784218788146973,[0.8333333333333334]
20,0.166666666667,0.03,0.18098235130310059,[0.16666666666666666]
25,0.833333333333,0.04,0.24766206741333008,[0.8333333333333334]
30,0.333333333333,0.03,0.30634522438049316,[0.3333333333333333]
35,0.166666666667,0.03,0.3627009391784668,[0.16666666666666666]
40,0.166666666667,0.03,0.4270491600036621,[0.16666666666666666]
45,0.666666666667,0.05,0.519972562789917,[0.6666666666666666]
50,0.0,0.03,0.5756208896636963,[0.0]
55,0.333333333333,0.03,0.6419520378112793,[0.3333333333333333]
60,0.666666666667,0.03,0.7194619178771973,[0.6666666666666666]
65,0.333333333333,0.05,0.8165717124938965,[0.3333333333333333]
70,0.5,0.05,0.8995921611785889,[0.5]
75,0.666666666667,0.03,0.9625918865203857,[0.6666666666666666]
80,0.5,0.03,1.0201592445373535,[0.5]
85,0.333333333333,0.04,1.0978124141693115,[0.3333333333333333]
90,0.666666666667,0.03,1.1644928455352783,[0.6666666666666666]
95,0.833333333333,0.03,1.2306957244873047,[0.8333333333333334]
100,0.5,0.03,1.2954604625701904,[0.5]
