iterations,fitness,time taken,time since start,fitness array
1,1.16666666667,0.0,0.002986907958984375,[1.1666666666666667]
2,2.66666666667,0.0,0.024530649185180664,[2.6666666666666665]
3,2.66666666667,0.0,0.04307818412780762,[2.6666666666666665]
4,5.66666666667,0.0,0.059129953384399414,[5.666666666666667]
5,2.5,0.0,0.07566595077514648,[2.5]
6,2.16666666667,0.0,0.10925459861755371,[2.1666666666666665]
7,3.33333333333,0.0,0.1373276710510254,[3.3333333333333335]
8,1.5,0.0,0.1613922119140625,[1.5]
9,2.66666666667,0.0,0.1929769515991211,[2.6666666666666665]
10,3.66666666667,0.0,0.2185525894165039,[3.6666666666666665]
11,3.83333333333,0.0,0.24260830879211426,[3.8333333333333335]
12,2.83333333333,0.0,0.26717638969421387,[2.8333333333333335]
13,2.0,0.0,0.28421902656555176,[2.0]
14,4.16666666667,0.0,0.3183152675628662,[4.166666666666667]
15,3.66666666667,0.0,0.34688615798950195,[3.6666666666666665]
16,3.5,0.0,0.372455358505249,[3.5]
17,1.33333333333,0.0,0.39601778984069824,[1.3333333333333333]
18,3.5,0.0,0.42308831214904785,[3.5]
19,3.66666666667,0.0,0.4461503028869629,[3.6666666666666665]
20,3.16666666667,0.0,0.4742255210876465,[3.1666666666666665]
21,3.33333333333,0.0,0.49929141998291016,[3.3333333333333335]
22,2.0,0.0,0.5273663997650146,[2.0]
23,3.83333333333,0.0,0.5639646053314209,[3.8333333333333335]
24,2.33333333333,0.0,0.5945444107055664,[2.3333333333333335]
25,2.83333333333,0.0,0.6301431655883789,[2.8333333333333335]
26,2.5,0.0,0.6597273349761963,[2.5]
27,5.16666666667,0.0,0.6978209018707275,[5.166666666666667]
28,3.66666666667,0.0,0.7273995876312256,[3.6666666666666665]
29,6.16666666667,0.0,0.7544770240783691,[6.166666666666667]
30,1.83333333333,0.0,0.7970840930938721,[1.8333333333333333]
31,3.83333333333,0.0,0.8281693458557129,[3.8333333333333335]
32,5.5,0.0,0.8727860450744629,[5.5]
33,2.66666666667,0.0,0.9063742160797119,[2.6666666666666665]
34,6.16666666667,0.0,0.93595290184021,[6.166666666666667]
35,3.16666666667,0.0,0.9710471630096436,[3.1666666666666665]
36,5.0,0.0,1.0031328201293945,[5.0]
37,1.66666666667,0.0,1.0241878032684326,[1.6666666666666667]
38,3.83333333333,0.0,1.049759864807129,[3.8333333333333335]
39,2.66666666667,0.0,1.0778312683105469,[2.6666666666666665]
40,2.16666666667,0.0,1.1144287586212158,[2.1666666666666665]
41,4.0,0.0,1.146012783050537,[4.0]
42,3.0,0.0,1.1750898361206055,[3.0]
43,1.66666666667,0.0,1.2101953029632568,[1.6666666666666667]
44,2.33333333333,0.0,1.2372565269470215,[2.3333333333333335]
45,4.0,0.0,1.2603161334991455,[4.0]
46,3.16666666667,0.0,1.2848811149597168,[3.1666666666666665]
47,3.0,0.0,1.3054418563842773,[3.0]
48,3.66666666667,0.0,1.3295016288757324,[3.6666666666666665]
49,1.66666666667,0.0,1.3495604991912842,[1.6666666666666667]
50,4.66666666667,0.0,1.3701090812683105,[4.666666666666667]
51,2.83333333333,0.0,1.3976869583129883,[2.8333333333333335]
52,1.33333333333,0.0,1.42124605178833,[1.3333333333333333]
53,5.5,0.0,1.4417991638183594,[5.5]
54,3.5,0.0,1.4623541831970215,[3.5]
55,2.83333333333,0.0,1.486938714981079,[2.8333333333333335]
56,2.33333333333,0.0,1.509479284286499,[2.3333333333333335]
57,4.16666666667,0.0,1.5330421924591064,[4.166666666666667]
58,1.0,0.0,1.560114860534668,[1.0]
59,4.33333333333,0.0,1.588188648223877,[4.333333333333333]
60,3.16666666667,0.0,1.6097466945648193,[3.1666666666666665]
61,3.83333333333,0.0,1.6373202800750732,[3.8333333333333335]
62,4.66666666667,0.0,1.6548664569854736,[4.666666666666667]
63,4.5,0.0,1.6759226322174072,[4.5]
64,3.83333333333,0.0,1.6964781284332275,[3.8333333333333335]
65,6.16666666667,0.0,1.7195382118225098,[6.166666666666667]
66,4.33333333333,0.0,1.742605447769165,[4.333333333333333]
67,3.0,0.0,1.7711760997772217,[3.0]
68,5.33333333333,0.0,1.7978084087371826,[5.333333333333333]
69,3.0,0.0,1.8218767642974854,[3.0]
70,4.83333333333,0.0,1.8449413776397705,[4.833333333333333]
71,3.66666666667,0.0,1.8670012950897217,[3.6666666666666665]
72,2.5,0.0,1.8890504837036133,[2.5]
73,4.0,0.0,1.9166269302368164,[4.0]
74,0.833333333333,0.0,1.9422016143798828,[0.8333333333333334]
75,2.16666666667,0.0,1.9707694053649902,[2.1666666666666665]
76,2.33333333333,0.0,2.005863904953003,[2.3333333333333335]
77,5.83333333333,0.0,2.037445306777954,[5.833333333333333]
78,4.33333333333,0.0,2.0610084533691406,[4.333333333333333]
79,4.33333333333,0.0,2.08557391166687,[4.333333333333333]
80,3.83333333333,0.0,2.123675584793091,[3.8333333333333335]
81,3.5,0.0,2.157264471054077,[3.5]
82,1.33333333333,0.0,2.1843366622924805,[1.3333333333333333]
83,5.33333333333,0.0,2.215420961380005,[5.333333333333333]
84,1.83333333333,0.0,2.236475706100464,[1.8333333333333333]
85,3.83333333333,0.0,2.2580437660217285,[3.8333333333333335]
86,1.16666666667,0.0,2.278085708618164,[1.1666666666666667]
87,3.33333333333,0.0,2.3031575679779053,[3.3333333333333335]
88,4.0,0.0,2.319195032119751,[4.0]
89,3.0,0.0,2.3407533168792725,[3.0]
90,3.83333333333,0.0,2.3588013648986816,[3.8333333333333335]
91,6.16666666667,0.0,2.3969101905822754,[6.166666666666667]
92,5.16666666667,0.0,2.427485942840576,[5.166666666666667]
93,2.66666666667,0.0,2.451547384262085,[2.6666666666666665]
94,1.83333333333,0.0,2.469604015350342,[1.8333333333333333]
95,4.5,0.0,2.492657423019409,[4.5]
96,3.83333333333,0.0,2.5076966285705566,[3.8333333333333335]
97,2.5,0.0,2.528252124786377,[2.5]
98,4.66666666667,0.0,2.5427916049957275,[4.666666666666667]
99,2.33333333333,0.0,2.5693702697753906,[2.3333333333333335]
100,2.83333333333,0.0,2.593937635421753,[2.8333333333333335]
101,2.5,0.0,2.6154918670654297,[2.5]
102,2.16666666667,0.0,2.6375505924224854,[2.1666666666666665]
103,5.0,0.0,2.653594493865967,[5.0]
104,3.33333333333,0.0,2.6716408729553223,[3.3333333333333335]
105,6.5,0.0,2.692697763442993,[6.5]
106,3.5,0.0,2.716768741607666,[3.5]
107,4.0,0.0,2.734808921813965,[4.0]
108,4.33333333333,0.0,2.7523584365844727,[4.333333333333333]
109,5.16666666667,0.0,2.7714059352874756,[5.166666666666667]
110,3.83333333333,0.0,2.791963815689087,[3.8333333333333335]
111,2.66666666667,0.0,2.8105127811431885,[2.6666666666666665]
112,4.83333333333,0.0,2.82906174659729,[4.833333333333333]
113,2.83333333333,0.0,2.8606438636779785,[2.8333333333333335]
114,1.83333333333,0.0,2.890725612640381,[1.8333333333333333]
115,5.66666666667,0.0,2.9147887229919434,[5.666666666666667]
116,2.5,0.0,2.937849998474121,[2.5]
117,1.0,0.0,2.954392910003662,[1.0]
118,3.66666666667,0.0,2.975952386856079,[3.6666666666666665]
119,1.16666666667,0.0,3.0000147819519043,[1.1666666666666667]
120,5.5,0.0,3.021071195602417,[5.5]
121,4.33333333333,0.0,3.0396201610565186,[4.333333333333333]
122,5.16666666667,0.0,3.0586729049682617,[5.166666666666667]
123,2.66666666667,0.0,3.0847432613372803,[2.6666666666666665]
124,3.16666666667,0.0,3.10429310798645,[3.1666666666666665]
125,0.666666666667,0.0,3.121338129043579,[0.6666666666666666]
126,6.5,0.0,3.139385223388672,[6.5]
127,3.5,0.0,3.1549274921417236,[3.5]
128,0.833333333333,0.0,3.176485061645508,[0.8333333333333334]
129,3.66666666667,0.0,3.1925265789031982,[3.6666666666666665]
130,5.16666666667,0.0,3.213083028793335,[5.166666666666667]
131,3.66666666667,0.0,3.2346391677856445,[3.6666666666666665]
132,3.5,0.0,3.2561964988708496,[3.5]
133,3.5,0.0,3.275247573852539,[3.5]
134,5.83333333333,0.0,3.2942981719970703,[5.833333333333333]
135,5.5,0.0,3.3198659420013428,[5.5]
136,2.0,0.0,3.341925859451294,[2.0]
137,4.33333333333,0.0,3.357966899871826,[4.333333333333333]
138,4.83333333333,0.0,3.3750131130218506,[4.833333333333333]
139,5.33333333333,0.0,3.3920578956604004,[5.333333333333333]
140,2.66666666667,0.0,3.417625665664673,[2.6666666666666665]
141,2.66666666667,0.0,3.438181161880493,[2.6666666666666665]
142,4.0,0.0,3.457732915878296,[4.0]
143,3.33333333333,0.0,3.4752790927886963,[3.3333333333333335]
144,4.16666666667,0.0,3.494330644607544,[4.166666666666667]
145,2.83333333333,0.0,3.5098743438720703,[2.8333333333333335]
146,3.66666666667,0.0,3.538447618484497,[3.6666666666666665]
147,4.0,0.0,3.556997299194336,[4.0]
148,3.83333333333,0.0,3.581563949584961,[3.8333333333333335]
149,5.0,0.0,3.605126142501831,[5.0]
150,5.33333333333,0.0,3.627185821533203,[5.333333333333333]
151,3.83333333333,0.0,3.643226385116577,[3.8333333333333335]
152,3.0,0.0,3.661776542663574,[3.0]
153,1.16666666667,0.0,3.6888537406921387,[1.1666666666666667]
154,3.5,0.0,3.7068986892700195,[3.5]
155,5.16666666667,0.0,3.72444486618042,[5.166666666666667]
156,0.833333333333,0.0,3.7550241947174072,[0.8333333333333334]
157,3.83333333333,0.0,3.789616823196411,[3.8333333333333335]
158,5.33333333333,0.0,3.811675548553467,[5.333333333333333]
159,2.33333333333,0.0,3.834235191345215,[2.3333333333333335]
160,3.5,0.0,3.860304594039917,[3.5]
161,4.66666666667,0.0,3.8778531551361084,[4.666666666666667]
162,3.83333333333,0.0,3.906426429748535,[3.8333333333333335]
163,4.33333333333,0.0,3.924492597579956,[4.333333333333333]
164,2.83333333333,0.0,3.941520929336548,[2.8333333333333335]
165,1.5,0.0,3.971600294113159,[1.5]
166,3.83333333333,0.0,3.9941604137420654,[3.8333333333333335]
167,4.16666666667,0.0,4.016720294952393,[4.166666666666667]
168,4.83333333333,0.0,4.031266212463379,[4.833333333333333]
169,2.33333333333,0.0,4.0578296184539795,[2.3333333333333335]
170,2.16666666667,0.0,4.074874639511108,[2.1666666666666665]
171,6.33333333333,0.0,4.0934247970581055,[6.333333333333333]
172,5.5,0.0,4.11899209022522,[5.5]
173,5.16666666667,0.0,4.140048503875732,[5.166666666666667]
174,2.33333333333,0.0,4.1626105308532715,[2.3333333333333335]
175,2.66666666667,0.0,4.190181493759155,[2.6666666666666665]
176,3.33333333333,0.0,4.214245557785034,[3.3333333333333335]
177,5.83333333333,0.0,4.241820573806763,[5.833333333333333]
178,5.83333333333,0.0,4.268896102905273,[5.833333333333333]
179,1.66666666667,0.0,4.290950059890747,[1.6666666666666667]
180,2.83333333333,0.0,4.32555365562439,[2.8333333333333335]
