iterations,fitness,time taken,time since start,fitness array
5,0.0,0.26,0.26972270011901855,[0.0]
10,0.0,0.24,0.5464520454406738,[0.0]
15,0.0,0.26,0.828787088394165,[0.0]
20,0.0,0.25,1.0985174179077148,[0.0]
25,0.0,0.27,1.3918275833129883,[0.0]
30,0.0,0.25,1.674574851989746,[0.0]
35,3.0,0.25,1.9513120651245117,[3.0]
40,3.0,0.24,2.2200262546539307,[3.0]
45,3.0,0.28,2.5298519134521484,[3.0]
50,3.0,0.28,2.833698034286499,[3.0]
55,3.0,0.24,3.107008457183838,[3.0]
60,3.0,0.26,3.4078385829925537,[3.0]
65,3.0,0.24,3.702169895172119,[3.0]
70,3.0,0.25,3.9949755668640137,[3.0]
75,3.0,0.24,4.273243188858032,[3.0]
80,3.0,0.25,4.564650535583496,[3.0]
85,3.0,0.24,4.845354318618774,[3.0]
90,3.0,0.24,5.130617380142212,[3.0]
95,3.0,0.25,5.429834842681885,[3.0]
100,3.0,0.25,5.718383073806763,[3.0]
105,3.0,0.23,5.9916908740997314,[3.0]
110,3.0,0.25,6.327090263366699,[3.0]
115,3.0,0.25,6.618446350097656,[3.0]
120,3.0,0.25,6.908650875091553,[3.0]
125,3.0,0.25,7.209770202636719,[3.0]
130,3.0,0.26,7.509103775024414,[3.0]
135,3.0,0.24,7.790346145629883,[3.0]
140,3.0,0.25,8.091655492782593,[3.0]
145,3.0,0.24,8.371418476104736,[3.0]
150,3.0,0.25,8.650502443313599,[3.0]
155,8.0,0.23,8.923319101333618,[8.0]
160,12.0,0.23,9.19573187828064,[12.0]
165,17.0,0.27,9.496692895889282,[17.0]
170,22.0,0.24,9.773611783981323,[22.0]
175,27.0,0.23,10.044015645980835,[27.0]
180,32.0,0.24,10.333574771881104,[32.0]
185,36.0,0.26,10.62618088722229,[36.0]
190,40.0,0.24,10.905890464782715,[40.0]
195,45.0,0.23,11.1840660572052,[45.0]
200,50.0,0.25,11.471940994262695,[50.0]
205,50.0,0.24,11.752503633499146,[50.0]
210,50.0,0.24,12.038282632827759,[50.0]
215,50.0,0.24,12.32904052734375,[50.0]
220,50.0,0.26,12.635058641433716,[50.0]
225,50.0,0.28,12.986501455307007,[50.0]
230,50.0,0.29,13.326399087905884,[50.0]
235,50.0,0.32,13.692376375198364,[50.0]
240,50.0,0.27,14.010218620300293,[50.0]
245,50.0,0.32,14.377697706222534,[50.0]
250,50.0,0.31,14.735179662704468,[50.0]
255,50.0,0.34,15.123124599456787,[50.0]
260,50.0,0.25,15.423930644989014,[50.0]
265,50.0,0.24,15.706734895706177,[50.0]
270,50.0,0.26,16.0057532787323,[50.0]
275,50.0,0.24,16.286009550094604,[50.0]
280,50.0,0.26,16.58732318878174,[50.0]
285,50.0,0.24,16.866585731506348,[50.0]
290,50.0,0.25,17.160022497177124,[50.0]
295,52.0,0.27,17.46681809425354,[52.0]
300,52.0,0.24,17.750062465667725,[52.0]
305,52.0,0.26,18.058051586151123,[52.0]
310,52.0,0.28,18.38233995437622,[52.0]
315,52.0,0.27,18.69919729232788,[52.0]
320,52.0,0.24,18.981526374816895,[52.0]
325,52.0,0.24,19.266783952713013,[52.0]
330,52.0,0.27,19.576534032821655,[52.0]
335,52.0,0.27,19.910274505615234,[52.0]
340,52.0,0.29,20.233795404434204,[52.0]
345,52.0,0.25,20.519023656845093,[52.0]
350,52.0,0.32,20.883614540100098,[52.0]
355,57.0,0.26,21.195443391799927,[57.0]
360,62.0,0.26,21.496845245361328,[62.0]
365,67.0,0.28,21.83871054649353,[67.0]
370,72.0,0.28,22.17009711265564,[72.0]
375,77.0,0.29,22.503807067871094,[77.0]
380,82.0,0.37,22.92142629623413,[82.0]
385,87.0,0.35,23.329849004745483,[87.0]
