iterations,fitness,time taken,time since start,fitness array
5,0.0,0.01,0.006923675537109375,[0.0]
10,0.0,0.01,0.036000728607177734,[0.0]
15,0.0,0.01,0.06019091606140137,[0.0]
20,0.0,0.01,0.08277106285095215,[0.0]
25,1.0,0.01,0.10731983184814453,[1.0]
30,1.0,0.01,0.13659310340881348,[1.0]
35,1.0,0.01,0.16658258438110352,[1.0]
40,1.0,0.01,0.1977677345275879,[1.0]
45,2.0,0.01,0.23035836219787598,[2.0]
50,2.0,0.01,0.26347851753234863,[2.0]
55,2.0,0.0,0.2946493625640869,[2.0]
60,2.0,0.0,0.3293883800506592,[2.0]
65,3.0,0.01,0.3606081008911133,[3.0]
70,3.0,0.01,0.3917357921600342,[3.0]
75,3.0,0.01,0.4254434108734131,[3.0]
80,3.0,0.01,0.4570140838623047,[3.0]
85,4.0,0.01,0.4892234802246094,[4.0]
90,4.0,0.01,0.5194270610809326,[4.0]
95,4.0,0.01,0.5509510040283203,[4.0]
100,4.0,0.01,0.5860445499420166,[4.0]
105,5.0,0.01,0.6166419982910156,[5.0]
110,5.0,0.0,0.6470141410827637,[5.0]
115,5.0,0.01,0.6783313751220703,[5.0]
120,5.0,0.0,0.7078871726989746,[5.0]
125,5.0,0.01,0.7400662899017334,[5.0]
130,6.0,0.01,0.7716419696807861,[6.0]
135,6.0,0.01,0.8011081218719482,[6.0]
140,6.0,0.01,0.8343505859375,[6.0]
145,6.0,0.0,0.8651533126831055,[6.0]
150,7.0,0.01,0.9017515182495117,[7.0]
155,7.0,0.01,0.9339289665222168,[7.0]
160,7.0,0.01,0.9680185317993164,[7.0]
165,7.0,0.01,1.0010650157928467,[7.0]
170,8.0,0.0,1.032660961151123,[8.0]
175,8.0,0.0,1.0567138195037842,[8.0]
180,8.0,0.0,1.0853073596954346,[8.0]
185,8.0,0.01,1.1195240020751953,[8.0]
190,9.0,0.01,1.162306547164917,[9.0]
195,9.0,0.0,1.197711706161499,[9.0]
200,9.0,0.0,1.2323024272918701,[9.0]
205,9.0,0.01,1.269904613494873,[9.0]
210,10.0,0.0,1.3090600967407227,[10.0]
215,10.0,0.01,1.345653772354126,[10.0]
220,10.0,0.01,1.3777835369110107,[10.0]
225,10.0,0.01,1.4093611240386963,[10.0]
230,10.0,0.0,1.4589486122131348,[10.0]
235,10.0,0.01,1.494870901107788,[10.0]
240,10.0,0.0,1.5726161003112793,[10.0]
245,10.0,0.01,1.6293306350708008,[10.0]
250,10.0,0.0,1.6649179458618164,[10.0]
255,10.0,0.0,1.6980490684509277,[10.0]
260,10.0,0.01,1.7326359748840332,[10.0]
265,10.0,0.01,1.7643678188323975,[10.0]
270,10.0,0.0,1.7969319820404053,[10.0]
275,10.0,0.0,1.829502820968628,[10.0]
280,10.0,0.0,1.8613507747650146,[10.0]
285,10.0,0.0,1.8964943885803223,[10.0]
290,10.0,0.0,1.9311912059783936,[10.0]
295,10.0,0.01,1.9667854309082031,[10.0]
300,10.0,0.01,2.0038838386535645,[10.0]
