iterations,fitness,time taken,time since start,fitness array
1,1.0,0.01,0.006013154983520508,[1.0]
2,1.0,0.01,0.027070045471191406,[1.0]
3,1.0,0.01,0.05113387107849121,[1.0]
4,1.0,0.01,0.0756978988647461,[1.0]
5,8.0,0.01,0.09775662422180176,[8.0]
6,0.0,0.01,0.1278398036956787,[0.0]
7,8.0,0.01,0.15641474723815918,[8.0]
8,8.0,0.01,0.18849778175354004,[8.0]
9,8.0,0.01,0.2215893268585205,[8.0]
10,0.0,0.01,0.2516670227050781,[0.0]
11,8.0,0.01,0.279740571975708,[8.0]
12,8.0,0.01,0.315875768661499,[8.0]
13,8.0,0.01,0.34993600845336914,[8.0]
14,8.0,0.01,0.3870377540588379,[8.0]
15,0.0,0.01,0.4196319580078125,[0.0]
16,9.0,0.01,0.4466862678527832,[9.0]
17,0.0,0.01,0.474261999130249,[0.0]
18,9.0,0.01,0.5093533992767334,[9.0]
19,9.0,0.01,0.5414385795593262,[9.0]
20,0.0,0.01,0.5800492763519287,[0.0]
21,9.0,0.01,0.6101205348968506,[9.0]
22,9.0,0.01,0.6392025947570801,[9.0]
23,0.0,0.01,0.667273759841919,[0.0]
24,0.0,0.01,0.6953625679016113,[0.0]
25,9.0,0.02,0.7269318103790283,[9.0]
26,9.0,0.01,0.7630276679992676,[9.0]
27,9.0,0.01,0.797619104385376,[9.0]
28,9.0,0.01,0.8307077884674072,[9.0]
29,0.0,0.01,0.8637955188751221,[0.0]
30,9.0,0.01,0.8983867168426514,[9.0]
31,9.0,0.01,0.9379937648773193,[9.0]
32,9.0,0.01,0.9796032905578613,[9.0]
33,0.0,0.01,1.0167150497436523,[0.0]
34,0.0,0.01,1.055816411972046,[0.0]
35,9.0,0.01,1.0969154834747314,[9.0]
36,9.0,0.01,1.1390280723571777,[9.0]
37,9.0,0.01,1.1816575527191162,[9.0]
38,0.0,0.01,1.2267611026763916,[0.0]
39,0.0,0.01,1.2743878364562988,[0.0]
40,9.0,0.01,1.3255257606506348,[9.0]
41,9.0,0.01,1.3751559257507324,[9.0]
42,9.0,0.01,1.415764570236206,[9.0]
43,0.0,0.01,1.4553709030151367,[0.0]
44,0.0,0.02,1.508011817932129,[0.0]
45,0.0,0.01,1.5531299114227295,[0.0]
46,0.0,0.01,1.5977482795715332,[0.0]
47,9.0,0.01,1.6423678398132324,[9.0]
48,0.0,0.01,1.6874895095825195,[0.0]
49,9.0,0.01,1.7326087951660156,[9.0]
50,0.0,0.01,1.7667021751403809,[0.0]
51,-3.0,0.01,1.8037962913513184,[-3.0]
52,9.0,0.01,1.8464105129241943,[9.0]
53,-3.0,0.01,1.8880231380462646,[-3.0]
54,9.0,0.01,1.926123857498169,[9.0]
55,9.0,0.01,1.959726095199585,[9.0]
56,9.0,0.01,1.9963090419769287,[9.0]
57,9.0,0.01,2.030402898788452,[9.0]
58,9.0,0.01,2.064490795135498,[9.0]
59,9.0,0.01,2.0930755138397217,[9.0]
60,9.0,0.01,2.1301686763763428,[9.0]
61,-3.0,0.01,2.1687674522399902,[-3.0]
62,-3.0,0.01,2.2143971920013428,[-3.0]
63,9.0,0.01,2.2570078372955322,[9.0]
64,9.0,0.01,2.295106887817383,[9.0]
65,9.0,0.01,2.330204963684082,[9.0]
66,-3.0,0.01,2.373819351196289,[-3.0]
67,-3.0,0.01,2.4099111557006836,[-3.0]
68,9.0,0.01,2.444000482559204,[9.0]
69,0.0,0.01,2.4961540699005127,[0.0]
70,0.0,0.01,2.5327365398406982,[0.0]
71,0.0,0.01,2.567328453063965,[0.0]
72,0.0,0.01,2.6089389324188232,[0.0]
73,10.0,0.01,2.647055149078369,[10.0]
74,0.0,0.01,2.6816351413726807,[0.0]
75,10.0,0.01,2.730262041091919,[10.0]
76,0.0,0.01,2.771878480911255,[0.0]
77,0.0,0.01,2.8134875297546387,[0.0]
78,0.0,0.01,2.850080966949463,[0.0]
79,0.0,0.01,2.8871796131134033,[0.0]
80,10.0,0.01,2.931297779083252,[10.0]
81,0.0,0.01,2.9699175357818604,[0.0]
82,10.0,0.01,3.029590129852295,[10.0]
83,10.0,0.01,3.068204879760742,[10.0]
84,10.0,0.01,3.112797975540161,[10.0]
85,0.0,0.01,3.151400566101074,[0.0]
86,10.0,0.01,3.188004732131958,[10.0]
87,10.0,0.01,3.2296125888824463,[10.0]
88,10.0,0.01,3.266707420349121,[10.0]
89,10.0,0.01,3.3048088550567627,[10.0]
90,0.0,0.01,3.3409039974212646,[0.0]
91,0.0,0.01,3.384535551071167,[0.0]
92,10.0,0.01,3.4236416816711426,[10.0]
93,10.0,0.01,3.470749616622925,[10.0]
94,0.0,0.01,3.5173745155334473,[0.0]
95,10.0,0.01,3.559486150741577,[10.0]
96,0.0,0.01,3.6005971431732178,[0.0]
97,0.0,0.01,3.641207456588745,[0.0]
98,0.0,0.01,3.6833181381225586,[0.0]
99,0.0,0.01,3.717906951904297,[0.0]
100,0.0,0.01,3.7681119441986084,[0.0]
101,10.0,0.01,3.8207459449768066,[10.0]
102,0.0,0.01,3.8568475246429443,[0.0]
103,0.0,0.01,3.895949602127075,[0.0]
104,0.0,0.01,3.93705677986145,[0.0]
105,10.0,0.01,3.9811906814575195,[10.0]
106,10.0,0.01,4.018772125244141,[10.0]
107,0.0,0.01,4.061385154724121,[0.0]
108,0.0,0.01,4.096481084823608,[0.0]
109,0.0,0.01,4.134587049484253,[0.0]
110,0.0,0.01,4.175189971923828,[0.0]
111,10.0,0.01,4.218806505203247,[10.0]
112,0.0,0.01,4.263428688049316,[0.0]
113,0.0,0.01,4.30954647064209,[0.0]
114,0.0,0.01,4.353666067123413,[0.0]
115,0.0,0.01,4.38825535774231,[0.0]
116,10.0,0.01,4.504064083099365,[10.0]
117,10.0,0.01,4.548683166503906,[10.0]
118,10.0,0.02,4.600321292877197,[10.0]
119,0.0,0.01,4.6494505405426025,[0.0]
120,0.0,0.01,4.6955811977386475,[0.0]
121,10.0,0.01,4.732673645019531,[10.0]
122,0.0,0.01,4.7712767124176025,[0.0]
123,10.0,0.01,4.812885522842407,[10.0]
124,0.0,0.01,4.85750412940979,[0.0]
125,0.0,0.01,4.899116039276123,[0.0]
126,10.0,0.01,4.940225839614868,[10.0]
127,10.0,0.01,4.982340335845947,[10.0]
128,0.0,0.01,5.0224449634552,[0.0]
129,0.0,0.01,5.063565969467163,[0.0]
130,0.0,0.01,5.103661060333252,[0.0]
131,10.0,0.01,5.146273851394653,[10.0]
132,10.0,0.01,5.186384439468384,[10.0]
133,0.0,0.01,5.227991342544556,[0.0]
134,10.0,0.01,5.271105766296387,[10.0]
135,10.0,0.01,5.314219951629639,[10.0]
136,10.0,0.01,5.357836961746216,[10.0]
137,10.0,0.01,5.403960466384888,[10.0]
138,10.0,0.01,5.455100774765015,[10.0]
139,10.0,0.01,5.502721548080444,[10.0]
140,0.0,0.01,5.547353029251099,[0.0]
141,0.0,0.01,5.589457273483276,[0.0]
142,0.0,0.01,5.632073640823364,[0.0]
143,10.0,0.01,5.674194574356079,[10.0]
144,10.0,0.01,5.712278842926025,[10.0]
145,10.0,0.01,5.754892349243164,[10.0]
146,0.0,0.01,5.802017688751221,[0.0]
147,0.0,0.01,5.844132423400879,[0.0]
148,0.0,0.01,5.888748407363892,[0.0]
149,0.0,0.01,5.927351951599121,[0.0]
150,10.0,0.01,5.968963146209717,[10.0]
151,10.0,0.01,6.064235210418701,[10.0]
152,0.0,0.01,6.110338449478149,[0.0]
153,0.0,0.01,6.246701955795288,[0.0]
154,0.0,0.01,6.29031777381897,[0.0]
155,10.0,0.01,6.337443590164185,[10.0]
156,10.0,0.01,6.394094944000244,[10.0]
157,0.0,0.01,6.437208414077759,[0.0]
158,0.0,0.01,6.47731876373291,[0.0]
159,10.0,0.01,6.526966571807861,[10.0]
160,0.0,0.01,6.577582359313965,[0.0]
161,10.0,0.01,6.620696783065796,[10.0]
162,0.0,0.01,6.661821126937866,[0.0]
163,0.0,0.01,6.702414274215698,[0.0]
164,0.0,0.01,6.74753737449646,[0.0]
165,0.0,0.01,6.785204887390137,[0.0]
166,10.0,0.01,6.824754953384399,[10.0]
167,0.0,0.02,6.877382278442383,[0.0]
168,10.0,0.01,6.9209959506988525,[10.0]
169,10.0,0.02,6.971632242202759,[10.0]
170,10.0,0.01,7.013248920440674,[10.0]
171,0.0,0.01,7.063875675201416,[0.0]
172,0.0,0.01,7.111502408981323,[0.0]
173,0.0,0.01,7.149104833602905,[0.0]
174,10.0,0.01,7.192726135253906,[10.0]
175,0.0,0.01,7.238339900970459,[0.0]
176,0.0,0.01,7.277945280075073,[0.0]
177,10.0,0.01,7.324069976806641,[10.0]
178,-3.0,0.01,7.3666815757751465,[-3.0]
179,-3.0,0.01,7.410799264907837,[-3.0]
180,10.0,0.01,7.462437391281128,[10.0]
181,10.0,0.01,7.510568857192993,[10.0]
182,10.0,0.01,7.55820107460022,[10.0]
183,-3.0,0.01,7.598297834396362,[-3.0]
184,10.0,0.01,7.644942045211792,[10.0]
185,10.0,0.01,7.6855573654174805,[10.0]
186,-3.0,0.01,7.734707832336426,[-3.0]
187,-3.0,0.01,7.776800155639648,[-3.0]
188,-3.0,0.01,7.814400911331177,[-3.0]
189,10.0,0.01,7.866562604904175,[10.0]
190,-3.0,0.01,7.919192790985107,[-3.0]
191,10.0,0.01,7.964808225631714,[10.0]
192,-3.0,0.01,8.008416652679443,[-3.0]
193,-3.0,0.01,8.051531553268433,[-3.0]
194,-3.0,0.01,8.087627649307251,[-3.0]
195,10.0,0.01,8.125227689743042,[10.0]
196,-3.0,0.01,8.170849084854126,[-3.0]
197,-3.0,0.01,8.21697187423706,[-3.0]
198,10.0,0.01,8.261590480804443,[10.0]
199,10.0,0.01,8.350827693939209,[10.0]
200,10.0,0.01,8.399003505706787,[10.0]
201,-3.0,0.01,8.441570281982422,[-3.0]
202,-3.0,0.01,8.491204738616943,[-3.0]
203,-3.0,0.01,8.538835525512695,[-3.0]
204,8.0,0.01,8.583447933197021,[8.0]
