iterations,fitness,time taken,time since start,fitness array
1,0.0,0.26,0.2632026672363281,[0.0]
2,0.0,0.23,0.5123636722564697,[0.0]
3,0.0,0.23,0.7555100917816162,[0.0]
4,0.0,0.23,1.0051732063293457,[0.0]
5,0.0,0.23,1.2593507766723633,[0.0]
6,0.0,0.26,1.5478031635284424,[0.0]
7,0.0,0.26,1.833545446395874,[0.0]
8,0.0,0.26,2.1133341789245605,[0.0]
9,0.0,0.24,2.382497787475586,[0.0]
10,0.0,0.23,2.636626958847046,[0.0]
11,0.0,0.25,2.913832426071167,[0.0]
12,0.0,0.24,3.1834609508514404,[0.0]
13,0.0,0.23,3.4391815662384033,[0.0]
14,0.0,0.23,3.7038912773132324,[0.0]
15,0.0,0.23,3.9570648670196533,[0.0]
16,0.0,0.25,4.230309009552002,[0.0]
17,0.0,0.26,4.511542081832886,[0.0]
18,0.0,0.26,4.798326015472412,[0.0]
19,0.0,0.26,5.083155870437622,[0.0]
20,0.0,0.24,5.348339319229126,[0.0]
21,0.0,0.26,5.637106418609619,[0.0]
22,0.0,0.23,5.895296096801758,[0.0]
23,0.0,0.23,6.154484272003174,[0.0]
24,0.0,0.23,6.404147624969482,[0.0]
25,0.0,0.24,6.664842128753662,[0.0]
26,0.0,0.36,7.054253816604614,[0.0]
27,0.0,0.28,7.370096445083618,[0.0]
28,0.0,0.27,7.66548490524292,[0.0]
29,0.0,0.24,7.924911260604858,[0.0]
30,0.0,0.25,8.203150033950806,[0.0]
31,0.0,0.26,8.482371091842651,[0.0]
32,0.0,0.26,8.768189907073975,[0.0]
33,0.0,0.29,9.080528736114502,[0.0]
34,0.0,0.23,9.343780517578125,[0.0]
35,3.0,0.24,9.60497784614563,[3.0]
36,3.0,0.27,9.902658462524414,[3.0]
37,3.0,0.23,10.161848545074463,[3.0]
38,3.0,0.25,10.433916568756104,[3.0]
39,3.0,0.24,10.695608615875244,[3.0]
40,3.0,0.23,10.954374551773071,[3.0]
41,3.0,0.26,11.237627506256104,[3.0]
42,3.0,0.22,11.482889413833618,[3.0]
43,3.0,0.23,11.732049942016602,[3.0]
44,3.0,0.22,11.973192930221558,[3.0]
45,3.0,0.23,12.227368593215942,[3.0]
46,3.0,0.26,12.50727105140686,[3.0]
47,3.0,0.24,12.768751382827759,[3.0]
48,3.0,0.24,13.03094482421875,[3.0]
49,3.0,0.23,13.289845705032349,[3.0]
50,3.0,0.25,13.563501119613647,[3.0]
51,3.0,0.26,13.849714279174805,[3.0]
52,3.0,0.25,14.125258684158325,[3.0]
53,3.0,0.23,14.383944749832153,[3.0]
54,3.0,0.25,14.665238618850708,[3.0]
55,3.0,0.23,14.918912887573242,[3.0]
56,3.0,0.26,15.202323913574219,[3.0]
57,3.0,0.24,15.462652921676636,[3.0]
58,3.0,0.23,15.712434530258179,[3.0]
59,3.0,0.24,15.976690769195557,[3.0]
60,3.0,0.22,16.22790789604187,[3.0]
61,3.0,0.26,16.509672164916992,[3.0]
62,3.0,0.27,16.804518222808838,[3.0]
63,3.0,0.25,17.07745671272278,[3.0]
64,3.0,0.23,17.331666946411133,[3.0]
65,3.0,0.3,17.69964337348938,[3.0]
66,3.0,0.37,18.113744974136353,[3.0]
67,3.0,0.25,18.394546270370483,[3.0]
68,3.0,0.24,18.6637544631958,[3.0]
69,3.0,0.26,18.953027725219727,[3.0]
70,3.0,0.27,19.25266408920288,[3.0]
71,3.0,0.27,19.54143238067627,[3.0]
72,3.0,0.23,19.797176361083984,[3.0]
73,3.0,0.24,20.057722330093384,[3.0]
74,3.0,0.28,20.3650119304657,[3.0]
75,3.0,0.26,20.650773763656616,[3.0]
76,3.0,0.34,21.032798290252686,[3.0]
77,3.0,0.28,21.340607166290283,[3.0]
78,3.0,0.39,21.764934539794922,[3.0]
79,3.0,0.31,22.099841117858887,[3.0]
80,3.0,0.3,22.42870783805847,[3.0]
81,3.0,0.26,22.708956003189087,[3.0]
82,3.0,0.23,22.964627265930176,[3.0]
83,3.0,0.27,23.25691246986389,[3.0]
84,3.0,0.23,23.50857424736023,[3.0]
85,3.0,0.23,23.755732774734497,[3.0]
86,3.0,0.25,24.029460906982422,[3.0]
87,3.0,0.23,24.278693437576294,[3.0]
88,3.0,0.23,24.52986216545105,[3.0]
89,3.0,0.24,24.787636041641235,[3.0]
90,3.0,0.24,25.048901557922363,[3.0]
91,3.0,0.25,25.32472538948059,[3.0]
92,3.0,0.23,25.58022904396057,[3.0]
93,3.0,0.23,25.832297563552856,[3.0]
94,3.0,0.23,26.082186698913574,[3.0]
95,3.0,0.23,26.331351041793823,[3.0]
96,3.0,0.25,26.60407519340515,[3.0]
97,3.0,0.29,26.918421983718872,[3.0]
98,3.0,0.25,27.190184116363525,[3.0]
99,3.0,0.22,27.43784236907959,[3.0]
100,3.0,0.23,27.689385652542114,[3.0]
101,3.0,0.25,27.960613250732422,[3.0]
102,3.0,0.22,28.20659613609314,[3.0]
103,3.0,0.22,28.45325255393982,[3.0]
104,3.0,0.23,28.703330755233765,[3.0]
105,3.0,0.22,28.955170392990112,[3.0]
106,3.0,0.27,29.260533571243286,[3.0]
107,3.0,0.24,29.520668268203735,[3.0]
108,3.0,0.23,29.772334098815918,[3.0]
109,3.0,0.23,30.020495176315308,[3.0]
110,3.0,0.26,30.30469250679016,[3.0]
111,3.0,0.25,30.58142614364624,[3.0]
112,3.0,0.22,30.827943086624146,[3.0]
113,3.0,0.23,31.07892107963562,[3.0]
114,3.0,0.22,31.330400466918945,[3.0]
115,3.0,0.23,31.580143690109253,[3.0]
116,3.0,0.25,31.850369930267334,[3.0]
117,3.0,0.22,32.09657263755798,[3.0]
118,3.0,0.23,32.34623575210571,[3.0]
119,3.0,0.22,32.597405433654785,[3.0]
120,3.0,0.22,32.843254804611206,[3.0]
121,3.0,0.24,33.11004567146301,[3.0]
122,3.0,0.23,33.360833168029785,[3.0]
123,3.0,0.23,33.61202573776245,[3.0]
124,3.0,0.22,33.85366725921631,[3.0]
125,3.0,0.22,34.097895860672,[3.0]
126,3.0,0.26,34.37802004814148,[3.0]
127,3.0,0.23,34.625627279281616,[3.0]
128,3.0,0.23,34.876283168792725,[3.0]
129,3.0,0.22,35.1166775226593,[3.0]
130,3.0,0.23,35.36476373672485,[3.0]
131,3.0,0.26,35.64200139045715,[3.0]
132,3.0,0.23,35.896167516708374,[3.0]
133,3.0,0.22,36.14606976509094,[3.0]
134,3.0,0.27,36.439852237701416,[3.0]
135,3.0,0.23,36.70505881309509,[3.0]
136,3.0,0.25,36.976303577423096,[3.0]
137,3.0,0.22,37.22216820716858,[3.0]
138,3.0,0.23,37.470216035842896,[3.0]
139,3.0,0.23,37.72203063964844,[3.0]
140,3.0,0.23,37.972389936447144,[3.0]
141,3.0,0.24,38.23912477493286,[3.0]
142,3.0,0.23,38.4915828704834,[3.0]
143,3.0,0.23,38.74576425552368,[3.0]
144,3.0,0.23,38.99892473220825,[3.0]
145,3.0,0.22,39.24307584762573,[3.0]
146,3.0,0.25,39.5196099281311,[3.0]
147,3.0,0.22,39.76524782180786,[3.0]
148,3.0,0.23,40.011404037475586,[3.0]
149,3.0,0.22,40.25957632064819,[3.0]
150,3.0,0.24,40.520254611968994,[3.0]
151,4.0,0.25,40.79099678993225,[4.0]
152,5.0,0.23,41.048105239868164,[5.0]
153,6.0,0.22,41.296770334243774,[6.0]
154,7.0,0.23,41.548434019088745,[7.0]
155,8.0,0.22,41.79266715049744,[8.0]
156,9.0,0.32,42.144314765930176,[9.0]
157,10.0,0.26,42.4265661239624,[10.0]
158,11.0,0.26,42.71382999420166,[11.0]
159,12.0,0.25,42.99712252616882,[12.0]
160,12.0,0.24,43.268863916397095,[12.0]
161,13.0,0.31,43.60328125953674,[13.0]
162,14.0,0.31,43.96803641319275,[14.0]
163,15.0,0.26,44.25077819824219,[15.0]
164,16.0,0.24,44.51748847961426,[16.0]
165,17.0,0.23,44.77773070335388,[17.0]
166,18.0,0.26,45.05646753311157,[18.0]
167,19.0,0.23,45.305647134780884,[19.0]
168,20.0,0.23,45.55982685089111,[20.0]
169,21.0,0.23,45.818013191223145,[21.0]
170,22.0,0.23,46.06692051887512,[22.0]
171,23.0,0.26,46.34516263008118,[23.0]
172,24.0,0.28,46.65799522399902,[24.0]
173,25.0,0.24,46.91602659225464,[25.0]
174,26.0,0.23,47.17421364784241,[26.0]
175,27.0,0.24,47.43490743637085,[27.0]
176,28.0,0.28,47.73943090438843,[28.0]
177,29.0,0.25,48.03468108177185,[29.0]
178,30.0,0.24,48.296876192092896,[30.0]
179,31.0,0.25,48.571065187454224,[31.0]
180,32.0,0.24,48.84034824371338,[32.0]
181,33.0,0.27,49.135175466537476,[33.0]
182,34.0,0.24,49.39686322212219,[34.0]
183,35.0,0.24,49.663573265075684,[35.0]
184,36.0,0.23,49.91674828529358,[36.0]
185,36.0,0.28,50.21996736526489,[36.0]
186,37.0,0.28,50.53078866004944,[37.0]
187,38.0,0.24,50.79392385482788,[38.0]
188,38.0,0.38,51.20301914215088,[38.0]
189,39.0,0.64,52.00420165061951,[39.0]
190,40.0,0.34,52.38953733444214,[40.0]
191,41.0,0.27,52.69326424598694,[41.0]
192,42.0,0.25,52.974010944366455,[42.0]
193,43.0,0.24,53.24379873275757,[43.0]
194,44.0,0.27,53.547778606414795,[44.0]
195,45.0,0.25,53.818000078201294,[45.0]
196,46.0,0.27,54.11931610107422,[46.0]
197,47.0,0.26,54.40622067451477,[47.0]
198,48.0,0.24,54.67861294746399,[48.0]
199,49.0,0.24,54.950907468795776,[49.0]
200,50.0,0.23,55.19611430168152,[50.0]
201,50.0,0.26,55.481871128082275,[50.0]
202,50.0,0.24,55.74559044837952,[50.0]
203,50.0,0.22,55.990742444992065,[50.0]
204,50.0,0.22,56.23542332649231,[50.0]
205,50.0,0.23,56.48909378051758,[50.0]
206,50.0,0.26,56.76935124397278,[50.0]
207,50.0,0.24,57.03105092048645,[50.0]
208,50.0,0.23,57.27972221374512,[50.0]
209,50.0,0.24,57.55395984649658,[50.0]
210,50.0,0.24,57.82534980773926,[50.0]
211,50.0,0.26,58.11154127120972,[50.0]
212,50.0,0.23,58.361271142959595,[50.0]
213,50.0,0.23,58.611438035964966,[50.0]
214,50.0,0.25,58.88221073150635,[50.0]
215,50.0,0.23,59.13889265060425,[50.0]
216,50.0,0.26,59.42565584182739,[50.0]
217,50.0,0.24,59.68284058570862,[50.0]
218,50.0,0.23,59.94199514389038,[50.0]
219,50.0,0.24,60.203529357910156,[50.0]
220,50.0,0.25,60.47625494003296,[50.0]
221,50.0,0.25,60.75249123573303,[50.0]
222,50.0,0.25,61.019702434539795,[50.0]
223,50.0,0.25,61.28952884674072,[50.0]
224,50.0,0.25,61.564284324645996,[50.0]
225,50.0,0.25,61.84308314323425,[50.0]
226,50.0,0.32,62.200185775756836,[50.0]
227,50.0,0.24,62.46432065963745,[50.0]
228,50.0,0.23,62.72051286697388,[50.0]
229,50.0,0.24,62.98176717758179,[50.0]
230,50.0,0.27,63.27509951591492,[50.0]
231,50.0,0.28,63.5825457572937,[50.0]
232,50.0,0.23,63.83596873283386,[50.0]
233,50.0,0.24,64.10118365287781,[50.0]
234,50.0,0.24,64.36893320083618,[50.0]
235,50.0,0.23,64.62661814689636,[50.0]
236,50.0,0.27,64.92140340805054,[50.0]
237,50.0,0.25,65.20265340805054,[50.0]
238,50.0,0.25,65.48686003684998,[50.0]
239,50.0,0.24,65.759272813797,[50.0]
240,50.0,0.29,66.08388304710388,[50.0]
241,50.0,0.27,66.38266706466675,[50.0]
242,50.0,0.23,66.65564513206482,[50.0]
243,50.0,0.28,66.99103784561157,[50.0]
244,50.0,0.3,67.34513926506042,[50.0]
245,50.0,0.28,67.67846393585205,[50.0]
246,50.0,0.31,68.03437447547913,[50.0]
247,50.0,0.28,68.35662531852722,[50.0]
248,50.0,0.29,68.67826104164124,[50.0]
249,50.0,0.24,68.94451260566711,[50.0]
250,50.0,0.31,69.28868651390076,[50.0]
251,50.0,0.28,69.60704708099365,[50.0]
252,50.0,0.24,69.86681985855103,[50.0]
253,50.0,0.23,70.12528204917908,[50.0]
254,50.0,0.24,70.39047002792358,[50.0]
255,50.0,0.24,70.65627574920654,[50.0]
256,50.0,0.27,70.94776749610901,[50.0]
257,50.0,0.25,71.22149753570557,[50.0]
258,50.0,0.24,71.4892065525055,[50.0]
259,50.0,0.24,71.75691962242126,[50.0]
260,50.0,0.23,72.01260304450989,[50.0]
261,50.0,0.32,72.35823321342468,[50.0]
262,50.0,0.28,72.68856430053711,[50.0]
263,50.0,0.27,72.98485231399536,[50.0]
264,50.0,0.24,73.2575671672821,[50.0]
265,50.0,0.24,73.52580142021179,[50.0]
266,50.0,0.36,73.91032433509827,[50.0]
267,50.0,0.27,74.22365760803223,[50.0]
268,50.0,0.26,74.52150893211365,[50.0]
269,50.0,0.32,74.88208436965942,[50.0]
270,50.0,0.33,75.25459504127502,[50.0]
271,50.0,0.28,75.55643844604492,[50.0]
272,50.0,0.25,75.83369326591492,[50.0]
273,50.0,0.24,76.1040608882904,[50.0]
274,50.0,0.26,76.39595150947571,[50.0]
275,50.0,0.25,76.68591666221619,[50.0]
276,50.0,0.31,77.0311963558197,[50.0]
277,50.0,0.26,77.32442140579224,[50.0]
278,50.0,0.26,77.62405610084534,[50.0]
279,50.0,0.35,78.00163650512695,[50.0]
280,50.0,0.24,78.27340865135193,[50.0]
281,50.0,0.27,78.56977581977844,[50.0]
282,50.0,0.24,78.83397912979126,[50.0]
283,50.0,0.24,79.09818744659424,[50.0]
284,50.0,0.23,79.35660409927368,[50.0]
285,50.0,0.24,79.61833596229553,[50.0]
286,50.0,0.27,79.91818428039551,[50.0]
287,50.0,0.29,80.25173306465149,[50.0]
288,50.0,0.29,80.56989884376526,[50.0]
289,50.0,0.27,80.87220191955566,[50.0]
290,50.0,0.28,81.19887924194336,[50.0]
291,50.0,0.31,81.54880928993225,[50.0]
292,50.0,0.26,81.84312057495117,[50.0]
293,52.0,0.27,82.14592623710632,[52.0]
294,52.0,0.24,82.4170310497284,[52.0]
295,52.0,0.24,82.6842291355133,[52.0]
296,52.0,0.27,82.97870588302612,[52.0]
297,52.0,0.24,83.24140334129333,[52.0]
298,52.0,0.23,83.50318193435669,[52.0]
299,52.0,0.27,83.80751204490662,[52.0]
300,52.0,0.25,84.0900342464447,[52.0]
301,52.0,0.27,84.38532781600952,[52.0]
302,52.0,0.27,84.67863845825195,[52.0]
303,52.0,0.25,84.96313738822937,[52.0]
304,52.0,0.23,85.22270321846008,[52.0]
305,52.0,0.23,85.48198294639587,[52.0]
306,52.0,0.26,85.77264523506165,[52.0]
307,52.0,0.24,86.03472065925598,[52.0]
308,52.0,0.32,86.38415169715881,[52.0]
