iterations,fitness,time taken,time since start,fitness array
5,0.0,0.02,0.019339323043823242,[0.0]
10,0.0,0.02,0.04993796348571777,[0.0]
15,0.0,0.02,0.07916712760925293,[0.0]
20,0.0,0.02,0.10573911666870117,[0.0]
25,1.0,0.02,0.13431620597839355,[1.0]
30,1.0,0.02,0.169450044631958,[1.0]
35,1.0,0.02,0.20870494842529297,[1.0]
40,1.0,0.02,0.2425849437713623,[1.0]
45,2.0,0.02,0.27416396141052246,[2.0]
50,2.0,0.02,0.3072524070739746,[2.0]
55,2.0,0.02,0.34267687797546387,[2.0]
60,2.0,0.02,0.3753397464752197,[2.0]
65,3.0,0.02,0.4100167751312256,[3.0]
70,3.0,0.02,0.44184255599975586,[3.0]
75,3.0,0.02,0.4748876094818115,[3.0]
80,3.0,0.02,0.5070242881774902,[3.0]
85,4.0,0.02,0.5407066345214844,[4.0]
90,4.0,0.02,0.5747709274291992,[4.0]
95,4.0,0.02,0.6069438457489014,[4.0]
100,4.0,0.02,0.6470432281494141,[4.0]
105,5.0,0.02,0.6824047565460205,[5.0]
110,5.0,0.02,0.7163426876068115,[5.0]
115,5.0,0.02,0.7543978691101074,[5.0]
120,5.0,0.02,0.7924439907073975,[5.0]
125,5.0,0.02,0.8320736885070801,[5.0]
130,6.0,0.02,0.8689470291137695,[6.0]
135,6.0,0.02,0.9041221141815186,[6.0]
140,6.0,0.02,0.9389400482177734,[6.0]
145,6.0,0.02,0.9761161804199219,[6.0]
150,7.0,0.02,1.007843255996704,[7.0]
155,7.0,0.02,1.0539684295654297,[7.0]
160,7.0,0.02,1.0910639762878418,[7.0]
165,7.0,0.03,1.1336967945098877,[7.0]
170,8.0,0.02,1.1737842559814453,[8.0]
175,8.0,0.02,1.2078945636749268,[8.0]
180,8.0,0.02,1.2429852485656738,[8.0]
185,8.0,0.02,1.2735655307769775,[8.0]
190,9.0,0.02,1.3061683177947998,[9.0]
195,9.0,0.02,1.3397629261016846,[9.0]
200,9.0,0.02,1.3728771209716797,[9.0]
205,9.0,0.02,1.4087910652160645,[9.0]
210,0.0,0.05,1.4723949432373047,[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
215,0.0,0.03,1.5322215557098389,[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
220,0.0,0.03,1.582306146621704,[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
225,0.0,0.04,1.632765293121338,[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
230,0.0,0.03,1.6818912029266357,[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
235,0.0,0.03,1.7325308322906494,[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
240,0.0,0.03,1.7852158546447754,[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
245,0.0,0.03,1.834888219833374,[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
