iterations,fitness,time taken,time since start,fitness array
1,1.0,0.01,0.012547969818115234,[1.0]
2,1.0,0.01,0.03210186958312988,[1.0]
3,1.0,0.01,0.05234527587890625,[1.0]
4,1.0,0.01,0.0724029541015625,[1.0]
5,8.0,0.01,0.09432458877563477,[8.0]
6,0.0,0.01,0.13007569313049316,[0.0]
7,8.0,0.02,0.18106770515441895,[8.0]
8,8.0,0.02,0.23804736137390137,[8.0]
9,8.0,0.02,0.28893423080444336,[8.0]
10,0.0,0.02,0.34000468254089355,[0.0]
11,8.0,0.03,0.39795827865600586,[8.0]
12,8.0,0.02,0.4535787105560303,[8.0]
13,8.0,0.02,0.5115845203399658,[8.0]
14,8.0,0.02,0.5734658241271973,[8.0]
15,0.0,0.02,0.6276700496673584,[0.0]
16,9.0,0.03,0.6841096878051758,[9.0]
17,0.0,0.02,0.7406175136566162,[0.0]
18,9.0,0.03,0.7995245456695557,[9.0]
19,9.0,0.02,0.8568336963653564,[9.0]
20,0.0,0.02,0.911628007888794,[0.0]
21,9.0,0.03,0.9689240455627441,[9.0]
22,9.0,0.02,1.005554437637329,[9.0]
23,0.0,0.01,1.0381124019622803,[0.0]
24,0.0,0.01,1.0713560581207275,[0.0]
25,9.0,0.02,1.110795497894287,[9.0]
26,9.0,0.02,1.1538047790527344,[9.0]
27,9.0,0.02,1.192119836807251,[9.0]
28,9.0,0.02,1.2472169399261475,[9.0]
29,0.0,0.02,1.3005285263061523,[0.0]
30,9.0,0.03,1.3641138076782227,[9.0]
31,9.0,0.03,1.4117369651794434,[9.0]
32,9.0,0.03,1.4598677158355713,[9.0]
33,0.0,0.01,1.4994375705718994,[0.0]
34,0.0,0.01,1.5350346565246582,[0.0]
35,9.0,0.02,1.575141429901123,[9.0]
36,9.0,0.03,1.621267557144165,[9.0]
37,9.0,0.03,1.682424783706665,[9.0]
38,0.0,0.03,1.7455930709838867,[0.0]
39,0.0,0.02,1.799236536026001,[0.0]
40,9.0,0.03,1.8645145893096924,[9.0]
41,9.0,0.04,1.9352045059204102,[9.0]
42,9.0,0.01,1.9715375900268555,[9.0]
43,0.0,0.02,2.0301642417907715,[0.0]
44,0.0,0.03,2.0888242721557617,[0.0]
45,0.0,0.02,2.1484110355377197,[0.0]
46,0.0,0.04,2.213503122329712,[0.0]
47,9.0,0.02,2.2535159587860107,[9.0]
48,0.0,0.02,2.293584108352661,[0.0]
49,9.0,0.02,2.3349056243896484,[9.0]
50,0.0,0.02,2.378873348236084,[0.0]
51,-3.0,0.03,2.4363927841186523,[-3.0]
52,9.0,0.03,2.4975266456604004,[9.0]
53,-3.0,0.02,2.545804500579834,[-3.0]
54,9.0,0.03,2.610957145690918,[9.0]
55,9.0,0.02,2.6693365573883057,[9.0]
56,9.0,0.05,2.74503231048584,[9.0]
57,9.0,0.02,2.7831218242645264,[9.0]
58,9.0,0.03,2.8445417881011963,[9.0]
59,9.0,0.02,2.9037251472473145,[9.0]
60,9.0,0.03,2.9684624671936035,[9.0]
61,-3.0,0.05,3.0482685565948486,[-3.0]
62,-3.0,0.01,3.1014132499694824,[-3.0]
63,9.0,0.03,3.160053014755249,[9.0]
64,9.0,0.02,3.2048914432525635,[9.0]
65,9.0,0.03,3.2675139904022217,[9.0]
66,-3.0,0.06,3.3511455059051514,[-3.0]
67,-3.0,0.01,3.386798620223999,[-3.0]
68,9.0,0.01,3.4257004261016846,[9.0]
69,0.0,0.02,3.465334177017212,[0.0]
70,0.0,0.02,3.521448850631714,[0.0]
71,0.0,0.05,3.5987656116485596,[0.0]
72,0.0,0.02,3.6443350315093994,[0.0]
73,10.0,0.03,3.703195333480835,[10.0]
74,0.0,0.02,3.742422580718994,[0.0]
75,10.0,0.02,3.7890753746032715,[10.0]
76,0.0,0.05,3.8663980960845947,[0.0]
77,0.0,0.02,3.9043731689453125,[0.0]
78,0.0,0.02,3.9424855709075928,[0.0]
79,0.0,0.01,3.985689640045166,[0.0]
80,10.0,0.04,4.050603151321411,[10.0]
81,0.0,0.06,4.1376051902771,[0.0]
82,10.0,0.02,4.19106388092041,[10.0]
83,10.0,0.03,4.250304937362671,[10.0]
84,10.0,0.03,4.317679405212402,[10.0]
85,0.0,0.03,4.381580352783203,[0.0]
86,10.0,0.07,4.47439980506897,[10.0]
87,10.0,0.02,4.522109031677246,[10.0]
88,10.0,0.03,4.585908651351929,[10.0]
89,10.0,0.04,4.661084413528442,[10.0]
90,0.0,0.03,4.718137264251709,[0.0]
91,0.0,0.04,4.78347110748291,[0.0]
92,10.0,0.02,4.8204734325408936,[10.0]
93,10.0,0.03,4.878092050552368,[10.0]
94,0.0,0.03,4.937392950057983,[0.0]
95,10.0,0.03,4.999438524246216,[10.0]
96,0.0,0.07,5.093684196472168,[0.0]
97,0.0,0.02,5.13617467880249,[0.0]
98,0.0,0.03,5.205237627029419,[0.0]
99,0.0,0.03,5.260688781738281,[0.0]
100,0.0,0.02,5.301982641220093,[0.0]
101,10.0,0.05,5.3745458126068115,[10.0]
102,0.0,0.02,5.425787687301636,[0.0]
103,0.0,0.03,5.492640256881714,[0.0]
104,0.0,0.03,5.562668085098267,[0.0]
105,10.0,0.03,5.626847505569458,[10.0]
106,10.0,0.05,5.699130058288574,[10.0]
107,0.0,0.02,5.7381672859191895,[0.0]
108,0.0,0.02,5.783935308456421,[0.0]
109,0.0,0.02,5.831289768218994,[0.0]
110,0.0,0.03,5.892063140869141,[0.0]
111,10.0,0.06,5.978885173797607,[10.0]
112,0.0,0.03,6.0384039878845215,[0.0]
113,0.0,0.03,6.099866628646851,[0.0]
114,0.0,0.03,6.154442071914673,[0.0]
115,0.0,0.03,6.218958854675293,[0.0]
116,10.0,0.07,6.313749313354492,[10.0]
117,10.0,0.02,6.3523969650268555,[10.0]
118,10.0,0.02,6.402053117752075,[10.0]
119,0.0,0.03,6.460677146911621,[0.0]
120,0.0,0.03,6.517091274261475,[0.0]
121,10.0,0.07,6.614964962005615,[10.0]
122,0.0,0.02,6.653088808059692,[0.0]
123,10.0,0.02,6.703026533126831,[10.0]
124,0.0,0.03,6.761961936950684,[0.0]
125,0.0,0.02,6.806080341339111,[0.0]
126,10.0,0.08,6.910689830780029,[10.0]
127,10.0,0.02,6.95596981048584,[10.0]
128,0.0,0.02,7.00120997428894,[0.0]
129,0.0,0.03,7.077625274658203,[0.0]
130,0.0,0.03,7.145695686340332,[0.0]
131,10.0,0.08,7.250129699707031,[10.0]
132,10.0,0.02,7.298794984817505,[10.0]
